t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
0.41,500.0,0.59198,15.83926,8.88808,0.02615,21.71836,114.82074,3.21753,8.88808,0.02615,21.71836,0,2.21466,0
0.42,500.0,0.62126,15.83766,9.10528,0.02679,21.71975,114.91071,3.21785,9.10528,0.02679,21.71975,0,2.2148,0
0.43,500.0,0.65125,15.83606,9.32249,0.02743,21.72109,115.00285,3.21818,9.32249,0.02743,21.72109,0,2.21493,0
0.44,500.0,0.68194,15.83446,9.53971,0.02807,21.72239,115.09716,3.2185,9.53971,0.02807,21.72239,0,2.21507,0
0.45,500.0,0.71335,15.83285,9.75695,0.02871,21.72364,115.19364,3.21883,9.75695,0.02871,21.72364,0,2.21519,0
0.46,500.0,0.74546,15.83125,9.9742,0.02935,21.72485,115.2923,3.21915,9.9742,0.02935,21.72485,0,2.21532,0
0.47,500.0,0.77828,15.82965,10.19146,0.02999,21.72601,115.39313,3.21948,10.19146,0.02999,21.72601,0,2.21544,0
0.48,500.0,0.81181,15.82805,10.40873,0.03063,21.72713,115.49613,3.21981,10.40873,0.03063,21.72713,0,2.21555,0
0.49,500.0,0.84605,15.82644,10.62601,0.03127,21.72821,115.6013,3.22013,10.62601,0.03127,21.72821,0,2.21566,0
0.5,500.0,0.881,15.82484,10.84331,0.03191,21.72924,115.70865,3.22046,10.84331,0.03191,21.72924,0,2.21577,0
0.51,500.0,0.91665,15.82324,11.06061,0.03255,21.73023,115.81817,3.22078,11.06061,0.03255,21.73023,0,2.21587,0
0.52,500.0,0.95302,15.82163,11.27792,0.03319,21.73117,115.92986,3.22111,11.27792,0.03319,21.73117,0,2.21596,0
0.53,500.0,0.99009,15.82003,11.49524,0.03382,21.73206,116.04372,3.22144,11.49524,0.03382,21.73206,0,2.21605,0
0.54,500.0,1.02787,15.81843,11.71257,0.03446,21.73292,116.15976,3.22176,11.71257,0.03446,21.73292,0,2.21614,0
0.55,500.0,1.06636,15.81683,11.92991,0.0351,21.73372,116.27798,3.22209,11.92991,0.0351,21.73372,0,2.21622,0
0.56,500.0,1.10555,15.81522,12.14725,0.03574,21.73449,116.39836,3.22242,12.14725,0.03574,21.73449,0,2.2163,0
0.57,500.0,1.14546,15.81362,12.3646,0.03638,21.73521,116.52092,3.22274,12.3646,0.03638,21.73521,0,2.21637,0
0.58,500.0,1.18607,15.81202,12.58196,0.03702,21.73588,116.64565,3.22307,12.58196,0.03702,21.73588,0,2.21644,0
0.59,500.0,1.22739,15.81041,12.79933,0.03766,21.73651,116.77256,3.2234,12.79933,0.03766,21.73651,0,2.21651,0
0.6,500.0,1.26942,15.80881,13.0167,0.0383,21.73709,116.90164,3.22372,13.0167,0.0383,21.73709,0,2.21657,0
0.61,500.0,1.31215,15.80721,13.23407,0.03894,21.73763,117.03289,3.22405,13.23407,0.03894,21.73763,0,2.21662,0
0.62,500.0,1.3556,15.80561,13.45146,0.03958,21.73813,117.16632,3.22438,13.45146,0.03958,21.73813,0,2.21667,0
0.63,500.0,1.39975,15.804,13.66884,0.04022,21.73858,117.30192,3.2247,13.66884,0.04022,21.73858,0,2.21672,0
0.64,500.0,1.44461,15.8024,13.88623,0.04086,21.73898,117.4397,3.22503,13.88623,0.04086,21.73898,0,2.21676,0
0.65,500.0,1.49017,15.8008,14.10362,0.0415,21.73935,117.57965,3.22536,14.10362,0.0415,21.73935,0,2.2168,0
0.66,500.0,1.53644,15.79919,14.32102,0.04214,21.73966,117.72177,3.22569,14.32102,0.04214,21.73966,0,2.21683,0
0.67,500.0,1.58342,15.79759,14.53842,0.04278,21.73993,117.86607,3.22601,14.53842,0.04278,21.73993,0,2.21686,0
0.68,500.0,1.63111,15.79599,14.75582,0.04342,21.74016,118.01254,3.22634,14.75582,0.04342,21.74016,0,2.21688,0
0.69,500.0,1.6795,15.79439,14.97323,0.04406,21.74034,118.16118,3.22667,14.97323,0.04406,21.74034,0,2.2169,0
0.7,500.0,1.72861,15.79278,15.19063,0.0447,21.74048,118.312,3.22699,15.19063,0.0447,21.74048,0,2.21691,0
0.71,500.0,1.77841,15.79118,15.40804,0.04534,21.74057,118.465,3.22732,15.40804,0.04534,21.74057,0,2.21692,0
0.72,500.0,1.82893,15.78958,15.62544,0.04598,21.74062,118.62016,3.22765,15.62544,0.04598,21.74062,0,2.21693,0
0.73,500.0,1.88015,15.78798,15.84285,0.04662,21.74063,118.77751,3.22798,15.84285,0.04662,21.74063,0,2.21693,0
0.74,500.0,1.93207,15.78637,16.06025,0.04726,21.74058,118.93702,3.2283,16.06025,0.04726,21.74063,0,2.21693,0
0.75,500.0,1.9847,15.78477,16.27766,0.0479,21.7405,119.09871,3.22863,16.27766,0.0479,21.74063,0,2.21693,0
0.76,500.0,2.03804,15.78317,16.49506,0.04854,21.74037,119.26257,3.22896,16.49506,0.04854,21.74063,0,2.21693,0
0.77,500.0,2.09208,15.78156,16.71246,0.04918,21.74019,119.42861,3.22929,16.71246,0.04918,21.74063,0,2.21693,0
0.78,500.0,2.14683,15.77996,16.92986,0.04982,21.73997,119.59682,3.22962,16.92986,0.04982,21.74063,0,2.21693,0
0.79,500.0,2.20229,15.77836,17.14726,0.05046,21.73971,119.76721,3.22994,17.14726,0.05046,21.74063,0,2.21693,0
0.8,500.0,2.25844,15.77676,17.36466,0.0511,21.7394,119.93977,3.23027,17.36466,0.0511,21.74063,0,2.21693,0
0.81,500.0,2.31531,15.77515,17.58205,0.05174,21.73904,120.1145,3.2306,17.58205,0.05174,21.74063,0,2.21693,0
0.82,500.0,2.37287,15.77355,17.79943,0.05238,21.73864,120.29141,3.23093,17.79943,0.05238,21.74063,0,2.21693,0
0.83,500.0,2.43115,15.77195,18.01681,0.05302,21.7382,120.47049,3.23126,18.01681,0.05302,21.74063,0,2.21693,0
0.84,500.0,2.49012,15.77034,18.23419,0.05366,21.73771,120.65175,3.23159,18.23419,0.05366,21.74063,0,2.21693,0
0.85,500.0,2.5498,15.76874,18.45156,0.0543,21.73718,120.83518,3.23191,18.45156,0.0543,21.74063,0,2.21693,0
0.86,500.0,2.61018,15.76714,18.66893,0.05494,21.7366,121.02078,3.23224,18.66893,0.05494,21.74063,0,2.21693,0
0.87,500.0,2.67127,15.76554,18.88629,0.05558,21.73598,121.20855,3.23257,18.88629,0.05558,21.74063,0,2.21693,0
0.88,500.0,2.73306,15.76393,19.10364,0.05622,21.73531,121.3985,3.2329,19.10364,0.05622,21.74063,0,2.21693,0
0.89,500.0,2.79555,15.76233,19.32099,0.05686,21.7346,121.59063,3.23323,19.32099,0.05686,21.74063,0,2.21693,0
0.9,500.0,2.85874,15.76073,19.53833,0.0575,21.73384,121.78492,3.23356,19.53833,0.0575,21.74063,0,2.21693,0
0.91,500.0,2.92264,15.75913,19.75566,0.05814,21.73304,121.98139,3.23389,19.75566,0.05814,21.74063,0,2.21693,0
0.92,500.0,2.98724,15.75752,19.97298,0.05877,21.73219,122.18004,3.23421,19.97298,0.05877,21.74063,0,2.21693,0
0.93,500.0,3.05254,15.75592,20.19029,0.05941,21.7313,122.38085,3.23454,20.19029,0.05941,21.74063,0,2.21693,0
0.94,500.0,3.11854,15.75432,20.4076,0.06005,21.73036,122.58384,3.23487,20.4076,0.06005,21.74063,0,2.21693,0
0.95,500.0,3.18524,15.75271,20.62489,0.06069,21.72938,122.789,3.2352,20.62489,0.06069,21.74063,0,2.21693,0
0.96,500.0,3.25264,15.75111,20.84217,0.06133,21.72836,122.99634,3.23553,20.84217,0.06133,21.74063,0,2.21693,0
0.97,500.0,3.32074,15.74951,21.05945,0.06197,21.72729,123.20585,3.23586,21.05945,0.06197,21.74063,0,2.21693,0
0.98,500.0,3.38955,15.74791,21.27671,0.06261,21.72617,123.41753,3.23619,21.27671,0.06261,21.74063,0,2.21693,0
0.99,500.0,3.45905,15.7463,21.49396,0.06325,21.72502,123.63138,3.23652,21.49396,0.06325,21.74063,0,2.21693,0
1.0,500.0,3.52925,15.7447,21.7112,0.06389,21.72381,123.84741,3.23685,21.7112,0.06389,21.74063,0,2.21693,0
1.01,500.0,3.60015,15.7431,21.92842,0.06453,21.72256,124.06561,3.23718,21.92842,0.06453,21.74063,0,2.21693,0
1.02,500.0,3.67175,15.74149,22.14563,0.06517,21.72127,124.28598,3.23751,22.14563,0.06517,21.74063,0,2.21693,0
1.03,500.0,3.74404,15.73989,22.36283,0.06581,21.71993,124.50852,3.23784,22.36283,0.06581,21.74063,0,2.21693,0
1.04,500.0,3.81704,15.73829,22.58002,0.06645,21.71855,124.73323,3.23817,22.58002,0.06645,21.74063,0,2.21693,0
1.05,500.0,3.89073,15.73669,22.79719,0.06709,21.71712,124.96012,3.2385,22.79719,0.06709,21.74063,0,2.21693,0
1.06,500.0,3.96512,15.73508,23.01435,0.06773,21.71565,125.18918,3.23883,23.01435,0.06773,21.74063,0,2.21693,0
1.07,500.0,4.04021,15.73348,23.23149,0.06837,21.71413,125.42041,3.23916,23.23149,0.06837,21.74063,0,2.21693,0
1.08,500.0,4.11599,15.73188,23.44861,0.06901,21.71257,125.65381,3.23949,23.44861,0.06901,21.74063,0,2.21693,0
