	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 5.06      		Fthrust : 500.0     		Fdrag : 79.49165  		m : 15.09397  		v : 104.352   		Mach : 0.30799   		a : 18.06408  		altitude : 384.91104 		twr : 3.37638   	
	t : 5.07      		Fthrust : 500.0     		Fdrag : 79.75873  		m : 15.09237  		v : 104.53249 		Mach : 0.30853   		a : 18.04936  		altitude : 385.95546 		twr : 3.37674   	
	t : 5.08      		Fthrust : 500.0     		Fdrag : 80.02599  		m : 15.09077  		v : 104.71284 		Mach : 0.30906   		a : 18.03462  		altitude : 387.00168 		twr : 3.3771    	
	t : 5.09      		Fthrust : 500.0     		Fdrag : 80.29343  		m : 15.08916  		v : 104.89303 		Mach : 0.3096    		a : 18.01987  		altitude : 388.04971 		twr : 3.37746   	
	t : 5.1       		Fthrust : 500.0     		Fdrag : 80.56105  		m : 15.08756  		v : 105.07309 		Mach : 0.31013   		a : 18.0051   		altitude : 389.09954 		twr : 3.37781   	
	t : 5.11      		Fthrust : 500.0     		Fdrag : 80.82884  		m : 15.08596  		v : 105.25299 		Mach : 0.31067   		a : 17.99032  		altitude : 390.15117 		twr : 3.37817   	
	t : 5.12      		Fthrust : 500.0     		Fdrag : 81.09681  		m : 15.08436  		v : 105.43274 		Mach : 0.3112    		a : 17.97552  		altitude : 391.2046  		twr : 3.37853   	
	t : 5.13      		Fthrust : 500.0     		Fdrag : 81.36495  		m : 15.08275  		v : 105.61235 		Mach : 0.31174   		a : 17.96071  		altitude : 392.25983 		twr : 3.37889   	
	t : 5.14      		Fthrust : 500.0     		Fdrag : 81.63326  		m : 15.08115  		v : 105.79181 		Mach : 0.31227   		a : 17.94588  		altitude : 393.31685 		twr : 3.37925   	
	t : 5.15      		Fthrust : 500.0     		Fdrag : 81.90174  		m : 15.07955  		v : 105.97112 		Mach : 0.3128    		a : 17.93104  		altitude : 394.37566 		twr : 3.37961   	
	t : 5.16      		Fthrust : 500.0     		Fdrag : 82.17039  		m : 15.07794  		v : 106.15028 		Mach : 0.31334   		a : 17.91618  		altitude : 395.43627 		twr : 3.37997   	
	t : 5.17      		Fthrust : 500.0     		Fdrag : 82.4392   		m : 15.07634  		v : 106.32929 		Mach : 0.31387   		a : 17.90131  		altitude : 396.49867 		twr : 3.38033   	
	t : 5.18      		Fthrust : 500.0     		Fdrag : 82.70818  		m : 15.07474  		v : 106.50816 		Mach : 0.3144    		a : 17.88643  		altitude : 397.56286 		twr : 3.38069   	
	t : 5.19      		Fthrust : 500.0     		Fdrag : 82.97732  		m : 15.07314  		v : 106.68687 		Mach : 0.31493   		a : 17.87153  		altitude : 398.62883 		twr : 3.38105   	
	t : 5.2       		Fthrust : 500.0     		Fdrag : 83.24662  		m : 15.07153  		v : 106.86544 		Mach : 0.31546   		a : 17.85662  		altitude : 399.69659 		twr : 3.38141   	
	t : 5.21      		Fthrust : 500.0     		Fdrag : 83.51608  		m : 15.06993  		v : 107.04386 		Mach : 0.31599   		a : 17.84169  		altitude : 400.76614 		twr : 3.38177   	
	t : 5.22      		Fthrust : 500.0     		Fdrag : 83.7857   		m : 15.06833  		v : 107.22213 		Mach : 0.31652   		a : 17.82675  		altitude : 401.83747 		twr : 3.38213   	
	t : 5.23      		Fthrust : 500.0     		Fdrag : 84.05547  		m : 15.06672  		v : 107.40024 		Mach : 0.31705   		a : 17.8118   		altitude : 402.91058 		twr : 3.38249   	
	t : 5.24      		Fthrust : 500.0     		Fdrag : 84.3254   		m : 15.06512  		v : 107.57821 		Mach : 0.31758   		a : 17.79683  		altitude : 403.98547 		twr : 3.38285   	
	t : 5.25      		Fthrust : 500.0     		Fdrag : 84.59548  		m : 15.06352  		v : 107.75603 		Mach : 0.31811   		a : 17.78185  		altitude : 405.06214 		twr : 3.38321   	
	t : 5.26      		Fthrust : 500.0     		Fdrag : 84.86572  		m : 15.06192  		v : 107.9337  		Mach : 0.31864   		a : 17.76686  		altitude : 406.14059 		twr : 3.38357   	
	t : 5.27      		Fthrust : 500.0     		Fdrag : 85.13611  		m : 15.06031  		v : 108.11122 		Mach : 0.31917   		a : 17.75185  		altitude : 407.22082 		twr : 3.38393   	
	t : 5.28      		Fthrust : 500.0     		Fdrag : 85.40664  		m : 15.05871  		v : 108.28859 		Mach : 0.31969   		a : 17.73683  		altitude : 408.30282 		twr : 3.38429   	
	t : 5.29      		Fthrust : 500.0     		Fdrag : 85.67732  		m : 15.05711  		v : 108.4658  		Mach : 0.32022   		a : 17.7218   		altitude : 409.38659 		twr : 3.38465   	
	t : 5.3       		Fthrust : 500.0     		Fdrag : 85.94815  		m : 15.05551  		v : 108.64287 		Mach : 0.32075   		a : 17.70675  		altitude : 410.47213 		twr : 3.38501   	
	t : 5.31      		Fthrust : 500.0     		Fdrag : 86.21912  		m : 15.0539   		v : 108.81979 		Mach : 0.32127   		a : 17.69169  		altitude : 411.55945 		twr : 3.38537   	
	t : 5.32      		Fthrust : 500.0     		Fdrag : 86.49023  		m : 15.0523   		v : 108.99655 		Mach : 0.3218    		a : 17.67662  		altitude : 412.64853 		twr : 3.38573   	
	t : 5.33      		Fthrust : 500.0     		Fdrag : 86.76148  		m : 15.0507   		v : 109.17317 		Mach : 0.32233   		a : 17.66153  		altitude : 413.73938 		twr : 3.38609   	
	t : 5.34      		Fthrust : 500.0     		Fdrag : 87.03288  		m : 15.04909  		v : 109.34963 		Mach : 0.32285   		a : 17.64644  		altitude : 414.83199 		twr : 3.38645   	
	t : 5.35      		Fthrust : 500.0     		Fdrag : 87.30441  		m : 15.04749  		v : 109.52595 		Mach : 0.32337   		a : 17.63133  		altitude : 415.92637 		twr : 3.38681   	
	t : 5.36      		Fthrust : 500.0     		Fdrag : 87.57608  		m : 15.04589  		v : 109.70211 		Mach : 0.3239    		a : 17.61621  		altitude : 417.02251 		twr : 3.38717   	
	t : 5.37      		Fthrust : 500.0     		Fdrag : 87.84788  		m : 15.04429  		v : 109.87812 		Mach : 0.32442   		a : 17.60107  		altitude : 418.12041 		twr : 3.38753   	
	t : 5.38      		Fthrust : 500.0     		Fdrag : 88.11981  		m : 15.04268  		v : 110.05398 		Mach : 0.32495   		a : 17.58593  		altitude : 419.22007 		twr : 3.38789   	
	t : 5.39      		Fthrust : 500.0     		Fdrag : 88.39188  		m : 15.04108  		v : 110.22969 		Mach : 0.32547   		a : 17.57077  		altitude : 420.32149 		twr : 3.38825   	
	t : 5.4       		Fthrust : 500.0     		Fdrag : 88.66407  		m : 15.03948  		v : 110.40524 		Mach : 0.32599   		a : 17.5556   		altitude : 421.42466 		twr : 3.38861   	
	t : 5.41      		Fthrust : 500.0     		Fdrag : 88.9364   		m : 15.03787  		v : 110.58065 		Mach : 0.32651   		a : 17.54041  		altitude : 422.52959 		twr : 3.38897   	
	t : 5.42      		Fthrust : 500.0     		Fdrag : 89.20885  		m : 15.03627  		v : 110.7559  		Mach : 0.32704   		a : 17.52522  		altitude : 423.63627 		twr : 3.38934   	
	t : 5.43      		Fthrust : 500.0     		Fdrag : 89.48142  		m : 15.03467  		v : 110.931   		Mach : 0.32756   		a : 17.51001  		altitude : 424.74471 		twr : 3.3897    	
	t : 5.44      		Fthrust : 500.0     		Fdrag : 89.75412  		m : 15.03307  		v : 111.10595 		Mach : 0.32808   		a : 17.4948   		altitude : 425.85489 		twr : 3.39006   	
	t : 5.45      		Fthrust : 500.0     		Fdrag : 90.02695  		m : 15.03146  		v : 111.28074 		Mach : 0.3286    		a : 17.47957  		altitude : 426.96683 		twr : 3.39042   	
	t : 5.46      		Fthrust : 500.0     		Fdrag : 90.29989  		m : 15.02986  		v : 111.45539 		Mach : 0.32912   		a : 17.46433  		altitude : 428.08051 		twr : 3.39078   	
	t : 5.47      		Fthrust : 500.0     		Fdrag : 90.57295  		m : 15.02826  		v : 111.62988 		Mach : 0.32964   		a : 17.44908  		altitude : 429.19593 		twr : 3.39114   	
	t : 5.48      		Fthrust : 500.0     		Fdrag : 90.84613  		m : 15.02666  		v : 111.80421 		Mach : 0.33016   		a : 17.43381  		altitude : 430.31311 		twr : 3.3915    	
	t : 5.49      		Fthrust : 500.0     		Fdrag : 91.11943  		m : 15.02505  		v : 111.9784  		Mach : 0.33067   		a : 17.41854  		altitude : 431.43202 		twr : 3.39187   	
	t : 5.5       		Fthrust : 500.0     		Fdrag : 91.39284  		m : 15.02345  		v : 112.15243 		Mach : 0.33119   		a : 17.40325  		altitude : 432.55267 		twr : 3.39223   	
	t : 5.51      		Fthrust : 500.0     		Fdrag : 91.66636  		m : 15.02185  		v : 112.32631 		Mach : 0.33171   		a : 17.38796  		altitude : 433.67507 		twr : 3.39259   	
	t : 5.52      		Fthrust : 500.0     		Fdrag : 91.94     		m : 15.02024  		v : 112.50004 		Mach : 0.33223   		a : 17.37265  		altitude : 434.7992  		twr : 3.39295   	
	t : 5.53      		Fthrust : 500.0     		Fdrag : 92.21374  		m : 15.01864  		v : 112.67361 		Mach : 0.33274   		a : 17.35734  		altitude : 435.92507 		twr : 3.39331   	
	t : 5.54      		Fthrust : 500.0     		Fdrag : 92.4876   		m : 15.01704  		v : 112.84703 		Mach : 0.33326   		a : 17.34201  		altitude : 437.05267 		twr : 3.39368   	
	t : 5.55      		Fthrust : 500.0     		Fdrag : 92.76156  		m : 15.01544  		v : 113.0203  		Mach : 0.33378   		a : 17.32667  		altitude : 438.18201 		twr : 3.39404   	
	t : 5.56      		Fthrust : 500.0     		Fdrag : 93.03562  		m : 15.01383  		v : 113.19341 		Mach : 0.33429   		a : 17.31132  		altitude : 439.31307 		twr : 3.3944    	
	t : 5.57      		Fthrust : 500.0     		Fdrag : 93.30979  		m : 15.01223  		v : 113.36637 		Mach : 0.33481   		a : 17.29596  		altitude : 440.44587 		twr : 3.39476   	
	t : 5.58      		Fthrust : 500.0     		Fdrag : 93.58406  		m : 15.01063  		v : 113.53918 		Mach : 0.33532   		a : 17.28059  		altitude : 441.5804  		twr : 3.39513   	
	t : 5.59      		Fthrust : 500.0     		Fdrag : 93.85844  		m : 15.00902  		v : 113.71183 		Mach : 0.33584   		a : 17.26521  		altitude : 442.71666 		twr : 3.39549   	
	t : 5.6       		Fthrust : 500.0     		Fdrag : 94.13291  		m : 15.00742  		v : 113.88433 		Mach : 0.33635   		a : 17.24982  		altitude : 443.85464 		twr : 3.39585   	
	t : 5.61      		Fthrust : 500.0     		Fdrag : 94.40748  		m : 15.00582  		v : 114.05667 		Mach : 0.33686   		a : 17.23442  		altitude : 444.99434 		twr : 3.39621   	
	t : 5.62      		Fthrust : 500.0     		Fdrag : 94.68215  		m : 15.00422  		v : 114.22886 		Mach : 0.33738   		a : 17.21902  		altitude : 446.13577 		twr : 3.39658   	
	t : 5.63      		Fthrust : 500.0     		Fdrag : 94.95691  		m : 15.00261  		v : 114.4009  		Mach : 0.33789   		a : 17.2036   		altitude : 447.27892 		twr : 3.39694   	
	t : 5.64      		Fthrust : 500.0     		Fdrag : 95.23177  		m : 15.00101  		v : 114.57278 		Mach : 0.3384    		a : 17.18817  		altitude : 448.42379 		twr : 3.3973    	
	t : 5.65      		Fthrust : 500.0     		Fdrag : 95.50671  		m : 14.99941  		v : 114.74451 		Mach : 0.33891   		a : 17.17273  		altitude : 449.57037 		twr : 3.39766   	
	t : 5.66      		Fthrust : 500.0     		Fdrag : 95.78175  		m : 14.99781  		v : 114.91608 		Mach : 0.33942   		a : 17.15728  		altitude : 450.71868 		twr : 3.39803   	
	t : 5.67      		Fthrust : 500.0     		Fdrag : 96.05688  		m : 14.9962   		v : 115.0875  		Mach : 0.33993   		a : 17.14183  		altitude : 451.86869 		twr : 3.39839   	
	t : 5.68      		Fthrust : 500.0     		Fdrag : 96.33209  		m : 14.9946   		v : 115.25876 		Mach : 0.34044   		a : 17.12636  		altitude : 453.02043 		twr : 3.39875   	
	t : 5.69      		Fthrust : 500.0     		Fdrag : 96.60739  		m : 14.993    		v : 115.42987 		Mach : 0.34095   		a : 17.11089  		altitude : 454.17387 		twr : 3.39912   	
	t : 5.7       		Fthrust : 500.0     		Fdrag : 96.88278  		m : 14.99139  		v : 115.60083 		Mach : 0.34146   		a : 17.0954   		altitude : 455.32902 		twr : 3.39948   	
	t : 5.71      		Fthrust : 500.0     		Fdrag : 97.15824  		m : 14.98979  		v : 115.77162 		Mach : 0.34197   		a : 17.07991  		altitude : 456.48588 		twr : 3.39984   	
	t : 5.72      		Fthrust : 500.0     		Fdrag : 97.43379  		m : 14.98819  		v : 115.94227 		Mach : 0.34248   		a : 17.06441  		altitude : 457.64445 		twr : 3.40021   	
	t : 5.73      		Fthrust : 500.0     		Fdrag : 97.70942  		m : 14.98659  		v : 116.11276 		Mach : 0.34299   		a : 17.0489   		altitude : 458.80473 		twr : 3.40057   	
	t : 5.74      		Fthrust : 500.0     		Fdrag : 97.98513  		m : 14.98498  		v : 116.28309 		Mach : 0.3435    		a : 17.03338  		altitude : 459.96671 		twr : 3.40093   	
	t : 5.75      		Fthrust : 500.0     		Fdrag : 98.26092  		m : 14.98338  		v : 116.45327 		Mach : 0.344     		a : 17.01785  		altitude : 461.13039 		twr : 3.4013    	
	t : 5.76      		Fthrust : 500.0     		Fdrag : 98.53678  		m : 14.98178  		v : 116.62329 		Mach : 0.34451   		a : 17.00231  		altitude : 462.29577 		twr : 3.40166   	
	t : 5.77      		Fthrust : 500.0     		Fdrag : 98.81271  		m : 14.98017  		v : 116.79316 		Mach : 0.34502   		a : 16.98677  		altitude : 463.46285 		twr : 3.40203   	
	t : 5.78      		Fthrust : 500.0     		Fdrag : 99.08872  		m : 14.97857  		v : 116.96287 		Mach : 0.34552   		a : 16.97122  		altitude : 464.63164 		twr : 3.40239   	
	t : 5.79      		Fthrust : 500.0     		Fdrag : 99.3648   		m : 14.97697  		v : 117.13243 		Mach : 0.34603   		a : 16.95565  		altitude : 465.80211 		twr : 3.40275   	
	t : 5.8       		Fthrust : 500.0     		Fdrag : 99.64095  		m : 14.97537  		v : 117.30183 		Mach : 0.34653   		a : 16.94009  		altitude : 466.97428 		twr : 3.40312   	
	t : 5.81      		Fthrust : 500.0     		Fdrag : 99.91716  		m : 14.97376  		v : 117.47108 		Mach : 0.34704   		a : 16.92451  		altitude : 468.14815 		twr : 3.40348   	
	t : 5.82      		Fthrust : 500.0     		Fdrag : 100.19345 		m : 14.97216  		v : 117.64016 		Mach : 0.34754   		a : 16.90892  		altitude : 469.3237  		twr : 3.40385   	
	t : 5.83      		Fthrust : 500.0     		Fdrag : 100.4698  		m : 14.97056  		v : 117.8091  		Mach : 0.34805   		a : 16.89333  		altitude : 470.50095 		twr : 3.40421   	
	t : 5.84      		Fthrust : 500.0     		Fdrag : 100.74621 		m : 14.96895  		v : 117.97787 		Mach : 0.34855   		a : 16.87773  		altitude : 471.67988 		twr : 3.40458   	
	t : 5.85      		Fthrust : 500.0     		Fdrag : 101.02269 		m : 14.96735  		v : 118.1465  		Mach : 0.34905   		a : 16.86212  		altitude : 472.86051 		twr : 3.40494   	
	t : 5.86      		Fthrust : 500.0     		Fdrag : 101.29922 		m : 14.96575  		v : 118.31496 		Mach : 0.34956   		a : 16.84651  		altitude : 474.04281 		twr : 3.40531   	
	t : 5.87      		Fthrust : 500.0     		Fdrag : 101.57582 		m : 14.96415  		v : 118.48327 		Mach : 0.35006   		a : 16.83088  		altitude : 475.22681 		twr : 3.40567   	
	t : 5.88      		Fthrust : 500.0     		Fdrag : 101.85248 		m : 14.96254  		v : 118.65142 		Mach : 0.35056   		a : 16.81525  		altitude : 476.41248 		twr : 3.40603   	
	t : 5.89      		Fthrust : 500.0     		Fdrag : 102.12919 		m : 14.96094  		v : 118.81942 		Mach : 0.35106   		a : 16.79961  		altitude : 477.59983 		twr : 3.4064    	
	t : 5.9       		Fthrust : 500.0     		Fdrag : 102.40596 		m : 14.95934  		v : 118.98726 		Mach : 0.35156   		a : 16.78397  		altitude : 478.78887 		twr : 3.40676   	
	t : 5.91      		Fthrust : 500.0     		Fdrag : 102.68278 		m : 14.95774  		v : 119.15494 		Mach : 0.35206   		a : 16.76832  		altitude : 479.97958 		twr : 3.40713   	
	t : 5.92      		Fthrust : 500.0     		Fdrag : 102.95965 		m : 14.95613  		v : 119.32247 		Mach : 0.35256   		a : 16.75266  		altitude : 481.17196 		twr : 3.40749   	
	t : 5.93      		Fthrust : 500.0     		Fdrag : 103.23658 		m : 14.95453  		v : 119.48984 		Mach : 0.35306   		a : 16.73699  		altitude : 482.36603 		twr : 3.40786   	
	t : 5.94      		Fthrust : 500.0     		Fdrag : 103.51355 		m : 14.95293  		v : 119.65705 		Mach : 0.35356   		a : 16.72132  		altitude : 483.56176 		twr : 3.40822   	
	t : 5.95      		Fthrust : 500.0     		Fdrag : 103.79057 		m : 14.95132  		v : 119.82411 		Mach : 0.35406   		a : 16.70564  		altitude : 484.75917 		twr : 3.40859   	
	t : 5.96      		Fthrust : 500.0     		Fdrag : 104.06764 		m : 14.94972  		v : 119.99101 		Mach : 0.35455   		a : 16.68996  		altitude : 485.95824 		twr : 3.40896   	
	t : 5.97      		Fthrust : 500.0     		Fdrag : 104.34476 		m : 14.94812  		v : 120.15775 		Mach : 0.35505   		a : 16.67426  		altitude : 487.15899 		twr : 3.40932   	
	t : 5.98      		Fthrust : 500.0     		Fdrag : 104.62192 		m : 14.94652  		v : 120.32434 		Mach : 0.35555   		a : 16.65856  		altitude : 488.3614  		twr : 3.40969   	
	t : 5.99      		Fthrust : 500.0     		Fdrag : 104.89912 		m : 14.94491  		v : 120.49076 		Mach : 0.35605   		a : 16.64286  		altitude : 489.56547 		twr : 3.41005   	
	t : 6.0       		Fthrust : 500.0     		Fdrag : 105.17636 		m : 14.94331  		v : 120.65704 		Mach : 0.35654   		a : 16.62715  		altitude : 490.77121 		twr : 3.41042   	
	t : 6.01      		Fthrust : 500.0     		Fdrag : 105.45364 		m : 14.94171  		v : 120.82315 		Mach : 0.35704   		a : 16.61143  		altitude : 491.97861 		twr : 3.41078   	
	t : 6.02      		Fthrust : 500.0     		Fdrag : 105.73097 		m : 14.9401   		v : 120.98911 		Mach : 0.35753   		a : 16.59571  		altitude : 493.18767 		twr : 3.41115   	
	t : 6.03      		Fthrust : 500.0     		Fdrag : 106.00832 		m : 14.9385   		v : 121.15491 		Mach : 0.35803   		a : 16.57998  		altitude : 494.39839 		twr : 3.41152   	
	t : 6.04      		Fthrust : 500.0     		Fdrag : 106.28572 		m : 14.9369   		v : 121.32055 		Mach : 0.35852   		a : 16.56424  		altitude : 495.61077 		twr : 3.41188   	
	t : 6.05      		Fthrust : 500.0     		Fdrag : 106.56315 		m : 14.9353   		v : 121.48603 		Mach : 0.35902   		a : 16.5485   		altitude : 496.8248  		twr : 3.41225   	
	t : 6.06      		Fthrust : 500.0     		Fdrag : 106.84061 		m : 14.93369  		v : 121.65136 		Mach : 0.35951   		a : 16.53275  		altitude : 498.04049 		twr : 3.41261   	
	t : 6.07      		Fthrust : 500.0     		Fdrag : 107.1181  		m : 14.93209  		v : 121.81653 		Mach : 0.36      		a : 16.517    		altitude : 499.25783 		twr : 3.41298   	
	t : 6.08      		Fthrust : 500.0     		Fdrag : 107.39562 		m : 14.93049  		v : 121.98154 		Mach : 0.3605    		a : 16.50124  		altitude : 500.47682 		twr : 3.41335   	
	t : 6.09      		Fthrust : 500.0     		Fdrag : 107.67317 		m : 14.92889  		v : 122.1464  		Mach : 0.36099   		a : 16.48548  		altitude : 501.69746 		twr : 3.41371   	
	t : 6.1       		Fthrust : 500.0     		Fdrag : 107.95075 		m : 14.92728  		v : 122.3111  		Mach : 0.36148   		a : 16.46971  		altitude : 502.91975 		twr : 3.41408   	
	t : 6.11      		Fthrust : 500.0     		Fdrag : 108.22836 		m : 14.92568  		v : 122.47564 		Mach : 0.36197   		a : 16.45394  		altitude : 504.14368 		twr : 3.41445   	
	t : 6.12      		Fthrust : 500.0     		Fdrag : 108.50599 		m : 14.92408  		v : 122.64002 		Mach : 0.36246   		a : 16.43816  		altitude : 505.36926 		twr : 3.41481   	
	t : 6.13      		Fthrust : 500.0     		Fdrag : 108.78364 		m : 14.92247  		v : 122.80424 		Mach : 0.36295   		a : 16.42238  		altitude : 506.59648 		twr : 3.41518   	
	t : 6.14      		Fthrust : 500.0     		Fdrag : 109.06131 		m : 14.92087  		v : 122.96831 		Mach : 0.36344   		a : 16.40659  		altitude : 507.82534 		twr : 3.41555   	
	t : 6.15      		Fthrust : 500.0     		Fdrag : 109.33901 		m : 14.91927  		v : 123.13221 		Mach : 0.36393   		a : 16.39079  		altitude : 509.05585 		twr : 3.41591   	
	t : 6.16      		Fthrust : 500.0     		Fdrag : 109.61672 		m : 14.91767  		v : 123.29596 		Mach : 0.36442   		a : 16.375    		altitude : 510.28799 		twr : 3.41628   	
	t : 6.17      		Fthrust : 500.0     		Fdrag : 109.89445 		m : 14.91606  		v : 123.45956 		Mach : 0.36491   		a : 16.35919  		altitude : 511.52176 		twr : 3.41665   	
	t : 6.18      		Fthrust : 500.0     		Fdrag : 110.1722  		m : 14.91446  		v : 123.62299 		Mach : 0.3654    		a : 16.34339  		altitude : 512.75718 		twr : 3.41701   	
	t : 6.19      		Fthrust : 500.0     		Fdrag : 110.44997 		m : 14.91286  		v : 123.78627 		Mach : 0.36589   		a : 16.32757  		altitude : 513.99422 		twr : 3.41738   	
	t : 6.2       		Fthrust : 500.0     		Fdrag : 110.72774 		m : 14.91125  		v : 123.94938 		Mach : 0.36637   		a : 16.31176  		altitude : 515.2329  		twr : 3.41775   	
	t : 6.21      		Fthrust : 500.0     		Fdrag : 111.00553 		m : 14.90965  		v : 124.11234 		Mach : 0.36686   		a : 16.29594  		altitude : 516.47321 		twr : 3.41812   	
	t : 6.22      		Fthrust : 500.0     		Fdrag : 111.28333 		m : 14.90805  		v : 124.27514 		Mach : 0.36735   		a : 16.28011  		altitude : 517.71515 		twr : 3.41848   	
	t : 6.23      		Fthrust : 500.0     		Fdrag : 111.56114 		m : 14.90645  		v : 124.43779 		Mach : 0.36783   		a : 16.26428  		altitude : 518.95871 		twr : 3.41885   	
	t : 6.24      		Fthrust : 500.0     		Fdrag : 111.83896 		m : 14.90484  		v : 124.60027 		Mach : 0.36832   		a : 16.24845  		altitude : 520.2039  		twr : 3.41922   	
	t : 6.25      		Fthrust : 500.0     		Fdrag : 112.11679 		m : 14.90324  		v : 124.7626  		Mach : 0.3688    		a : 16.23261  		altitude : 521.45072 		twr : 3.41959   	
	t : 6.26      		Fthrust : 500.0     		Fdrag : 112.39462 		m : 14.90164  		v : 124.92477 		Mach : 0.36929   		a : 16.21677  		altitude : 522.69915 		twr : 3.41995   	
	t : 6.27      		Fthrust : 500.0     		Fdrag : 112.67245 		m : 14.90004  		v : 125.08677 		Mach : 0.36977   		a : 16.20092  		altitude : 523.94921 		twr : 3.42032   	
	t : 6.28      		Fthrust : 500.0     		Fdrag : 112.95029 		m : 14.89843  		v : 125.24863 		Mach : 0.37026   		a : 16.18508  		altitude : 525.20089 		twr : 3.42069   	
	t : 6.29      		Fthrust : 500.0     		Fdrag : 113.22813 		m : 14.89683  		v : 125.41032 		Mach : 0.37074   		a : 16.16922  		altitude : 526.45418 		twr : 3.42106   	
	t : 6.3       		Fthrust : 500.0     		Fdrag : 113.50597 		m : 14.89523  		v : 125.57185 		Mach : 0.37122   		a : 16.15337  		altitude : 527.70909 		twr : 3.42143   	
	t : 6.31      		Fthrust : 500.0     		Fdrag : 113.78381 		m : 14.89362  		v : 125.73323 		Mach : 0.3717    		a : 16.13751  		altitude : 528.96562 		twr : 3.42179   	
	t : 6.32      		Fthrust : 500.0     		Fdrag : 114.06165 		m : 14.89202  		v : 125.89444 		Mach : 0.37219   		a : 16.12165  		altitude : 530.22376 		twr : 3.42216   	
	t : 6.33      		Fthrust : 500.0     		Fdrag : 114.33949 		m : 14.89042  		v : 126.0555  		Mach : 0.37267   		a : 16.10578  		altitude : 531.48351 		twr : 3.42253   	
	t : 6.34      		Fthrust : 500.0     		Fdrag : 114.61732 		m : 14.88882  		v : 126.2164  		Mach : 0.37315   		a : 16.08991  		altitude : 532.74487 		twr : 3.4229    	
	t : 6.35      		Fthrust : 500.0     		Fdrag : 114.89514 		m : 14.88721  		v : 126.37714 		Mach : 0.37363   		a : 16.07404  		altitude : 534.00783 		twr : 3.42327   	
	t : 6.36      		Fthrust : 500.0     		Fdrag : 115.17295 		m : 14.88561  		v : 126.53772 		Mach : 0.37411   		a : 16.05816  		altitude : 535.27241 		twr : 3.42364   	
	t : 6.37      		Fthrust : 500.0     		Fdrag : 115.45076 		m : 14.88401  		v : 126.69814 		Mach : 0.37459   		a : 16.04229  		altitude : 536.53859 		twr : 3.424     	
	t : 6.38      		Fthrust : 500.0     		Fdrag : 115.72856 		m : 14.8824   		v : 126.85841 		Mach : 0.37507   		a : 16.0264   		altitude : 537.80637 		twr : 3.42437   	
	t : 6.39      		Fthrust : 500.0     		Fdrag : 116.00635 		m : 14.8808   		v : 127.01851 		Mach : 0.37555   		a : 16.01052  		altitude : 539.07576 		twr : 3.42474   	
	t : 6.4       		Fthrust : 500.0     		Fdrag : 116.28412 		m : 14.8792   		v : 127.17846 		Mach : 0.37603   		a : 15.99463  		altitude : 540.34674 		twr : 3.42511   	
	t : 6.41      		Fthrust : 500.0     		Fdrag : 116.56188 		m : 14.8776   		v : 127.33825 		Mach : 0.3765    		a : 15.97875  		altitude : 541.61932 		twr : 3.42548   	
	t : 6.42      		Fthrust : 500.0     		Fdrag : 116.83962 		m : 14.87599  		v : 127.49788 		Mach : 0.37698   		a : 15.96285  		altitude : 542.8935  		twr : 3.42585   	
	t : 6.43      		Fthrust : 500.0     		Fdrag : 117.11735 		m : 14.87439  		v : 127.65735 		Mach : 0.37746   		a : 15.94696  		altitude : 544.16928 		twr : 3.42622   	
	t : 6.44      		Fthrust : 500.0     		Fdrag : 117.39506 		m : 14.87279  		v : 127.81666 		Mach : 0.37793   		a : 15.93106  		altitude : 545.44665 		twr : 3.42659   	
	t : 6.45      		Fthrust : 500.0     		Fdrag : 117.67275 		m : 14.87119  		v : 127.97581 		Mach : 0.37841   		a : 15.91517  		altitude : 546.72561 		twr : 3.42696   	
	t : 6.46      		Fthrust : 500.0     		Fdrag : 117.95042 		m : 14.86958  		v : 128.1348  		Mach : 0.37889   		a : 15.89927  		altitude : 548.00617 		twr : 3.42733   	
	t : 6.47      		Fthrust : 500.0     		Fdrag : 118.22807 		m : 14.86798  		v : 128.29363 		Mach : 0.37936   		a : 15.88336  		altitude : 549.28831 		twr : 3.4277    	
	t : 6.48      		Fthrust : 500.0     		Fdrag : 118.5057  		m : 14.86638  		v : 128.45231 		Mach : 0.37984   		a : 15.86746  		altitude : 550.57204 		twr : 3.42806   	
	t : 6.49      		Fthrust : 500.0     		Fdrag : 118.7833  		m : 14.86477  		v : 128.61082 		Mach : 0.38031   		a : 15.85155  		altitude : 551.85735 		twr : 3.42843   	
	t : 6.5       		Fthrust : 500.0     		Fdrag : 119.06088 		m : 14.86317  		v : 128.76918 		Mach : 0.38078   		a : 15.83564  		altitude : 553.14425 		twr : 3.4288    	
	t : 6.51      		Fthrust : 500.0     		Fdrag : 119.33843 		m : 14.86157  		v : 128.92738 		Mach : 0.38126   		a : 15.81973  		altitude : 554.43274 		twr : 3.42917   	
	t : 6.52      		Fthrust : 500.0     		Fdrag : 119.61596 		m : 14.85997  		v : 129.08542 		Mach : 0.38173   		a : 15.80382  		altitude : 555.7228  		twr : 3.42954   	
	t : 6.53      		Fthrust : 500.0     		Fdrag : 119.89345 		m : 14.85836  		v : 129.2433  		Mach : 0.3822    		a : 15.78791  		altitude : 557.01444 		twr : 3.42991   	
