	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 0.34      		Fthrust : 500.0     		Fdrag : 0.40684   		m : 15.85048  		v : 7.36811   		Mach : 0.02168   		a : 21.70741  		altitude : 114.25178 		twr : 3.21525   	
	t : 0.35      		Fthrust : 500.0     		Fdrag : 0.43116   		m : 15.84888  		v : 7.5852    		Mach : 0.02232   		a : 21.70911  		altitude : 114.32655 		twr : 3.21557   	
	t : 0.36      		Fthrust : 500.0     		Fdrag : 0.4562    		m : 15.84728  		v : 7.80231   		Mach : 0.02296   		a : 21.71076  		altitude : 114.40348 		twr : 3.2159    	
	t : 0.37      		Fthrust : 500.0     		Fdrag : 0.48194   		m : 15.84568  		v : 8.01944   		Mach : 0.0236    		a : 21.71237  		altitude : 114.48259 		twr : 3.21622   	
	t : 0.38      		Fthrust : 500.0     		Fdrag : 0.50838   		m : 15.84407  		v : 8.23657   		Mach : 0.02424   		a : 21.71394  		altitude : 114.56387 		twr : 3.21655   	
	t : 0.39      		Fthrust : 500.0     		Fdrag : 0.53554   		m : 15.84247  		v : 8.45373   		Mach : 0.02487   		a : 21.71546  		altitude : 114.64732 		twr : 3.21687   	
	t : 0.4       		Fthrust : 500.0     		Fdrag : 0.5634    		m : 15.84087  		v : 8.6709    		Mach : 0.02551   		a : 21.71693  		altitude : 114.73295 		twr : 3.2172    	
	t : 0.41      		Fthrust : 500.0     		Fdrag : 0.59198   		m : 15.83926  		v : 8.88808   		Mach : 0.02615   		a : 21.71836  		altitude : 114.82074 		twr : 3.21753   	
	t : 0.42      		Fthrust : 500.0     		Fdrag : 0.62126   		m : 15.83766  		v : 9.10528   		Mach : 0.02679   		a : 21.71975  		altitude : 114.91071 		twr : 3.21785   	
	t : 0.43      		Fthrust : 500.0     		Fdrag : 0.65125   		m : 15.83606  		v : 9.32249   		Mach : 0.02743   		a : 21.72109  		altitude : 115.00285 		twr : 3.21818   	
	t : 0.44      		Fthrust : 500.0     		Fdrag : 0.68194   		m : 15.83446  		v : 9.53971   		Mach : 0.02807   		a : 21.72239  		altitude : 115.09716 		twr : 3.2185    	
	t : 0.45      		Fthrust : 500.0     		Fdrag : 0.71335   		m : 15.83285  		v : 9.75695   		Mach : 0.02871   		a : 21.72364  		altitude : 115.19364 		twr : 3.21883   	
	t : 0.46      		Fthrust : 500.0     		Fdrag : 0.74546   		m : 15.83125  		v : 9.9742    		Mach : 0.02935   		a : 21.72485  		altitude : 115.2923  		twr : 3.21915   	
	t : 0.47      		Fthrust : 500.0     		Fdrag : 0.77828   		m : 15.82965  		v : 10.19146  		Mach : 0.02999   		a : 21.72601  		altitude : 115.39313 		twr : 3.21948   	
	t : 0.48      		Fthrust : 500.0     		Fdrag : 0.81181   		m : 15.82805  		v : 10.40873  		Mach : 0.03063   		a : 21.72713  		altitude : 115.49613 		twr : 3.21981   	
	t : 0.49      		Fthrust : 500.0     		Fdrag : 0.84605   		m : 15.82644  		v : 10.62601  		Mach : 0.03127   		a : 21.72821  		altitude : 115.6013  		twr : 3.22013   	
	t : 0.5       		Fthrust : 500.0     		Fdrag : 0.881     		m : 15.82484  		v : 10.84331  		Mach : 0.03191   		a : 21.72924  		altitude : 115.70865 		twr : 3.22046   	
	t : 0.51      		Fthrust : 500.0     		Fdrag : 0.91665   		m : 15.82324  		v : 11.06061  		Mach : 0.03255   		a : 21.73023  		altitude : 115.81817 		twr : 3.22078   	
	t : 0.52      		Fthrust : 500.0     		Fdrag : 0.95302   		m : 15.82163  		v : 11.27792  		Mach : 0.03319   		a : 21.73117  		altitude : 115.92986 		twr : 3.22111   	
	t : 0.53      		Fthrust : 500.0     		Fdrag : 0.99009   		m : 15.82003  		v : 11.49524  		Mach : 0.03382   		a : 21.73206  		altitude : 116.04372 		twr : 3.22144   	
	t : 0.54      		Fthrust : 500.0     		Fdrag : 1.02787   		m : 15.81843  		v : 11.71257  		Mach : 0.03446   		a : 21.73292  		altitude : 116.15976 		twr : 3.22176   	
	t : 0.55      		Fthrust : 500.0     		Fdrag : 1.06636   		m : 15.81683  		v : 11.92991  		Mach : 0.0351    		a : 21.73372  		altitude : 116.27798 		twr : 3.22209   	
	t : 0.56      		Fthrust : 500.0     		Fdrag : 1.10555   		m : 15.81522  		v : 12.14725  		Mach : 0.03574   		a : 21.73449  		altitude : 116.39836 		twr : 3.22242   	
	t : 0.57      		Fthrust : 500.0     		Fdrag : 1.14546   		m : 15.81362  		v : 12.3646   		Mach : 0.03638   		a : 21.73521  		altitude : 116.52092 		twr : 3.22274   	
	t : 0.58      		Fthrust : 500.0     		Fdrag : 1.18607   		m : 15.81202  		v : 12.58196  		Mach : 0.03702   		a : 21.73588  		altitude : 116.64565 		twr : 3.22307   	
	t : 0.59      		Fthrust : 500.0     		Fdrag : 1.22739   		m : 15.81041  		v : 12.79933  		Mach : 0.03766   		a : 21.73651  		altitude : 116.77256 		twr : 3.2234    	
	t : 0.6       		Fthrust : 500.0     		Fdrag : 1.26942   		m : 15.80881  		v : 13.0167   		Mach : 0.0383    		a : 21.73709  		altitude : 116.90164 		twr : 3.22372   	
	t : 0.61      		Fthrust : 500.0     		Fdrag : 1.31215   		m : 15.80721  		v : 13.23407  		Mach : 0.03894   		a : 21.73763  		altitude : 117.03289 		twr : 3.22405   	
	t : 0.62      		Fthrust : 500.0     		Fdrag : 1.3556    		m : 15.80561  		v : 13.45146  		Mach : 0.03958   		a : 21.73813  		altitude : 117.16632 		twr : 3.22438   	
	t : 0.63      		Fthrust : 500.0     		Fdrag : 1.39975   		m : 15.804    		v : 13.66884  		Mach : 0.04022   		a : 21.73858  		altitude : 117.30192 		twr : 3.2247    	
	t : 0.64      		Fthrust : 500.0     		Fdrag : 1.44461   		m : 15.8024   		v : 13.88623  		Mach : 0.04086   		a : 21.73898  		altitude : 117.4397  		twr : 3.22503   	
	t : 0.65      		Fthrust : 500.0     		Fdrag : 1.49017   		m : 15.8008   		v : 14.10362  		Mach : 0.0415    		a : 21.73935  		altitude : 117.57965 		twr : 3.22536   	
	t : 0.66      		Fthrust : 500.0     		Fdrag : 1.53644   		m : 15.79919  		v : 14.32102  		Mach : 0.04214   		a : 21.73966  		altitude : 117.72177 		twr : 3.22569   	
	t : 0.67      		Fthrust : 500.0     		Fdrag : 1.58342   		m : 15.79759  		v : 14.53842  		Mach : 0.04278   		a : 21.73993  		altitude : 117.86607 		twr : 3.22601   	
	t : 0.68      		Fthrust : 500.0     		Fdrag : 1.63111   		m : 15.79599  		v : 14.75582  		Mach : 0.04342   		a : 21.74016  		altitude : 118.01254 		twr : 3.22634   	
	t : 0.69      		Fthrust : 500.0     		Fdrag : 1.6795    		m : 15.79439  		v : 14.97323  		Mach : 0.04406   		a : 21.74034  		altitude : 118.16118 		twr : 3.22667   	
	t : 0.7       		Fthrust : 500.0     		Fdrag : 1.72861   		m : 15.79278  		v : 15.19063  		Mach : 0.0447    		a : 21.74048  		altitude : 118.312   		twr : 3.22699   	
	t : 0.71      		Fthrust : 500.0     		Fdrag : 1.77841   		m : 15.79118  		v : 15.40804  		Mach : 0.04534   		a : 21.74057  		altitude : 118.465   		twr : 3.22732   	
	t : 0.72      		Fthrust : 500.0     		Fdrag : 1.82893   		m : 15.78958  		v : 15.62544  		Mach : 0.04598   		a : 21.74062  		altitude : 118.62016 		twr : 3.22765   	
	t : 0.73      		Fthrust : 500.0     		Fdrag : 1.88015   		m : 15.78798  		v : 15.84285  		Mach : 0.04662   		a : 21.74063  		altitude : 118.77751 		twr : 3.22798   	
	t : 0.74      		Fthrust : 500.0     		Fdrag : 1.93207   		m : 15.78637  		v : 16.06025  		Mach : 0.04726   		a : 21.74058  		altitude : 118.93702 		twr : 3.2283    	
	t : 0.75      		Fthrust : 500.0     		Fdrag : 1.9847    		m : 15.78477  		v : 16.27766  		Mach : 0.0479    		a : 21.7405   		altitude : 119.09871 		twr : 3.22863   	
	t : 0.76      		Fthrust : 500.0     		Fdrag : 2.03804   		m : 15.78317  		v : 16.49506  		Mach : 0.04854   		a : 21.74037  		altitude : 119.26257 		twr : 3.22896   	
	t : 0.77      		Fthrust : 500.0     		Fdrag : 2.09208   		m : 15.78156  		v : 16.71246  		Mach : 0.04918   		a : 21.74019  		altitude : 119.42861 		twr : 3.22929   	
	t : 0.78      		Fthrust : 500.0     		Fdrag : 2.14683   		m : 15.77996  		v : 16.92986  		Mach : 0.04982   		a : 21.73997  		altitude : 119.59682 		twr : 3.22962   	
	t : 0.79      		Fthrust : 500.0     		Fdrag : 2.20229   		m : 15.77836  		v : 17.14726  		Mach : 0.05046   		a : 21.73971  		altitude : 119.76721 		twr : 3.22994   	
	t : 0.8       		Fthrust : 500.0     		Fdrag : 2.25844   		m : 15.77676  		v : 17.36466  		Mach : 0.0511    		a : 21.7394   		altitude : 119.93977 		twr : 3.23027   	
	t : 0.81      		Fthrust : 500.0     		Fdrag : 2.31531   		m : 15.77515  		v : 17.58205  		Mach : 0.05174   		a : 21.73904  		altitude : 120.1145  		twr : 3.2306    	
	t : 0.82      		Fthrust : 500.0     		Fdrag : 2.37287   		m : 15.77355  		v : 17.79943  		Mach : 0.05238   		a : 21.73864  		altitude : 120.29141 		twr : 3.23093   	
	t : 0.83      		Fthrust : 500.0     		Fdrag : 2.43115   		m : 15.77195  		v : 18.01681  		Mach : 0.05302   		a : 21.7382   		altitude : 120.47049 		twr : 3.23126   	
	t : 0.84      		Fthrust : 500.0     		Fdrag : 2.49012   		m : 15.77034  		v : 18.23419  		Mach : 0.05366   		a : 21.73771  		altitude : 120.65175 		twr : 3.23159   	
	t : 0.85      		Fthrust : 500.0     		Fdrag : 2.5498    		m : 15.76874  		v : 18.45156  		Mach : 0.0543    		a : 21.73718  		altitude : 120.83518 		twr : 3.23191   	
	t : 0.86      		Fthrust : 500.0     		Fdrag : 2.61018   		m : 15.76714  		v : 18.66893  		Mach : 0.05494   		a : 21.7366   		altitude : 121.02078 		twr : 3.23224   	
	t : 0.87      		Fthrust : 500.0     		Fdrag : 2.67127   		m : 15.76554  		v : 18.88629  		Mach : 0.05558   		a : 21.73598  		altitude : 121.20855 		twr : 3.23257   	
	t : 0.88      		Fthrust : 500.0     		Fdrag : 2.73306   		m : 15.76393  		v : 19.10364  		Mach : 0.05622   		a : 21.73531  		altitude : 121.3985  		twr : 3.2329    	
	t : 0.89      		Fthrust : 500.0     		Fdrag : 2.79555   		m : 15.76233  		v : 19.32099  		Mach : 0.05686   		a : 21.7346   		altitude : 121.59063 		twr : 3.23323   	
	t : 0.9       		Fthrust : 500.0     		Fdrag : 2.85874   		m : 15.76073  		v : 19.53833  		Mach : 0.0575    		a : 21.73384  		altitude : 121.78492 		twr : 3.23356   	
	t : 0.91      		Fthrust : 500.0     		Fdrag : 2.92264   		m : 15.75913  		v : 19.75566  		Mach : 0.05814   		a : 21.73304  		altitude : 121.98139 		twr : 3.23389   	
	t : 0.92      		Fthrust : 500.0     		Fdrag : 2.98724   		m : 15.75752  		v : 19.97298  		Mach : 0.05877   		a : 21.73219  		altitude : 122.18004 		twr : 3.23421   	
	t : 0.93      		Fthrust : 500.0     		Fdrag : 3.05254   		m : 15.75592  		v : 20.19029  		Mach : 0.05941   		a : 21.7313   		altitude : 122.38085 		twr : 3.23454   	
	t : 0.94      		Fthrust : 500.0     		Fdrag : 3.11854   		m : 15.75432  		v : 20.4076   		Mach : 0.06005   		a : 21.73036  		altitude : 122.58384 		twr : 3.23487   	
	t : 0.95      		Fthrust : 500.0     		Fdrag : 3.18524   		m : 15.75271  		v : 20.62489  		Mach : 0.06069   		a : 21.72938  		altitude : 122.789   		twr : 3.2352    	
	t : 0.96      		Fthrust : 500.0     		Fdrag : 3.25264   		m : 15.75111  		v : 20.84217  		Mach : 0.06133   		a : 21.72836  		altitude : 122.99634 		twr : 3.23553   	
	t : 0.97      		Fthrust : 500.0     		Fdrag : 3.32074   		m : 15.74951  		v : 21.05945  		Mach : 0.06197   		a : 21.72729  		altitude : 123.20585 		twr : 3.23586   	
	t : 0.98      		Fthrust : 500.0     		Fdrag : 3.38955   		m : 15.74791  		v : 21.27671  		Mach : 0.06261   		a : 21.72617  		altitude : 123.41753 		twr : 3.23619   	
	t : 0.99      		Fthrust : 500.0     		Fdrag : 3.45905   		m : 15.7463   		v : 21.49396  		Mach : 0.06325   		a : 21.72502  		altitude : 123.63138 		twr : 3.23652   	
	t : 1.0       		Fthrust : 500.0     		Fdrag : 3.52925   		m : 15.7447   		v : 21.7112   		Mach : 0.06389   		a : 21.72381  		altitude : 123.84741 		twr : 3.23685   	
	t : 1.01      		Fthrust : 500.0     		Fdrag : 3.60015   		m : 15.7431   		v : 21.92842  		Mach : 0.06453   		a : 21.72256  		altitude : 124.06561 		twr : 3.23718   	
	t : 1.02      		Fthrust : 500.0     		Fdrag : 3.67175   		m : 15.74149  		v : 22.14563  		Mach : 0.06517   		a : 21.72127  		altitude : 124.28598 		twr : 3.23751   	
	t : 1.03      		Fthrust : 500.0     		Fdrag : 3.74404   		m : 15.73989  		v : 22.36283  		Mach : 0.06581   		a : 21.71993  		altitude : 124.50852 		twr : 3.23784   	
	t : 1.04      		Fthrust : 500.0     		Fdrag : 3.81704   		m : 15.73829  		v : 22.58002  		Mach : 0.06645   		a : 21.71855  		altitude : 124.73323 		twr : 3.23817   	
