	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 9.92      		Fthrust : 500.0     		Fdrag : 117.8829  		m : 14.31502  		v : 201.71756 		Mach : 0.60063   		a : 16.89255  		altitude : 1155.48538		twr : 3.56009   	
	t : 9.93      		Fthrust : 500.0     		Fdrag : 118.05606 		m : 14.31342  		v : 201.88639 		Mach : 0.60115   		a : 16.88344  		altitude : 1157.5034 		twr : 3.56048   	
	t : 9.94      		Fthrust : 500.0     		Fdrag : 118.22919 		m : 14.31182  		v : 202.05514 		Mach : 0.60167   		a : 16.87433  		altitude : 1159.5231 		twr : 3.56088   	
	t : 9.95      		Fthrust : 500.0     		Fdrag : 118.40227 		m : 14.31021  		v : 202.22379 		Mach : 0.60218   		a : 16.86522  		altitude : 1161.5445 		twr : 3.56128   	
	t : 9.96      		Fthrust : 500.0     		Fdrag : 118.57532 		m : 14.30861  		v : 202.39235 		Mach : 0.6027    		a : 16.85611  		altitude : 1163.56758		twr : 3.56168   	
	t : 9.97      		Fthrust : 500.0     		Fdrag : 118.74832 		m : 14.30701  		v : 202.56082 		Mach : 0.60322   		a : 16.84701  		altitude : 1165.59234		twr : 3.56208   	
	t : 9.98      		Fthrust : 500.0     		Fdrag : 118.92128 		m : 14.3054   		v : 202.7292  		Mach : 0.60373   		a : 16.8379   		altitude : 1167.61879		twr : 3.56248   	
	t : 9.99      		Fthrust : 500.0     		Fdrag : 119.0942  		m : 14.3038   		v : 202.89749 		Mach : 0.60425   		a : 16.82879  		altitude : 1169.64693		twr : 3.56288   	
	t : 10.0      		Fthrust : 500.0     		Fdrag : 119.26707 		m : 14.3022   		v : 203.06568 		Mach : 0.60476   		a : 16.81969  		altitude : 1171.67674		twr : 3.56328   	
	t : 10.01     		Fthrust : 500.0     		Fdrag : 119.43991 		m : 14.3006   		v : 203.23379 		Mach : 0.60528   		a : 16.81059  		altitude : 1173.70824		twr : 3.56368   	
	t : 10.02     		Fthrust : 500.0     		Fdrag : 119.6127  		m : 14.29899  		v : 203.4018  		Mach : 0.60579   		a : 16.80149  		altitude : 1175.74142		twr : 3.56408   	
	t : 10.03     		Fthrust : 500.0     		Fdrag : 119.78544 		m : 14.29739  		v : 203.56973 		Mach : 0.60631   		a : 16.79238  		altitude : 1177.77628		twr : 3.56447   	
	t : 10.04     		Fthrust : 500.0     		Fdrag : 119.95814 		m : 14.29579  		v : 203.73756 		Mach : 0.60682   		a : 16.78328  		altitude : 1179.81281		twr : 3.56487   	
	t : 10.05     		Fthrust : 500.0     		Fdrag : 120.1308  		m : 14.29418  		v : 203.9053  		Mach : 0.60733   		a : 16.77418  		altitude : 1181.85103		twr : 3.56527   	
	t : 10.06     		Fthrust : 500.0     		Fdrag : 120.30341 		m : 14.29258  		v : 204.07295 		Mach : 0.60785   		a : 16.76509  		altitude : 1183.89092		twr : 3.56567   	
	t : 10.07     		Fthrust : 500.0     		Fdrag : 120.47598 		m : 14.29098  		v : 204.24051 		Mach : 0.60836   		a : 16.75599  		altitude : 1185.93249		twr : 3.56607   	
	t : 10.08     		Fthrust : 500.0     		Fdrag : 120.6485  		m : 14.28938  		v : 204.40798 		Mach : 0.60887   		a : 16.74689  		altitude : 1187.97573		twr : 3.56647   	
	t : 10.09     		Fthrust : 500.0     		Fdrag : 120.82097 		m : 14.28777  		v : 204.57536 		Mach : 0.60939   		a : 16.7378   		altitude : 1190.02065		twr : 3.56687   	
	t : 10.1      		Fthrust : 500.0     		Fdrag : 120.9934  		m : 14.28617  		v : 204.74265 		Mach : 0.6099    		a : 16.72871  		altitude : 1192.06724		twr : 3.56727   	
	t : 10.11     		Fthrust : 500.0     		Fdrag : 121.16579 		m : 14.28457  		v : 204.90984 		Mach : 0.61041   		a : 16.71961  		altitude : 1194.1155 		twr : 3.56767   	
	t : 10.12     		Fthrust : 500.0     		Fdrag : 121.33812 		m : 14.28297  		v : 205.07695 		Mach : 0.61092   		a : 16.71052  		altitude : 1196.16543		twr : 3.56807   	
	t : 10.13     		Fthrust : 500.0     		Fdrag : 121.51041 		m : 14.28136  		v : 205.24396 		Mach : 0.61144   		a : 16.70143  		altitude : 1198.21704		twr : 3.56847   	
	t : 10.14     		Fthrust : 500.0     		Fdrag : 121.68265 		m : 14.27976  		v : 205.41089 		Mach : 0.61195   		a : 16.69234  		altitude : 1200.27031		twr : 3.56888   	
	t : 10.15     		Fthrust : 500.0     		Fdrag : 121.85484 		m : 14.27816  		v : 205.57772 		Mach : 0.61246   		a : 16.68326  		altitude : 1202.32525		twr : 3.56928   	
	t : 10.16     		Fthrust : 500.0     		Fdrag : 122.02699 		m : 14.27655  		v : 205.74446 		Mach : 0.61297   		a : 16.67417  		altitude : 1204.38186		twr : 3.56968   	
	t : 10.17     		Fthrust : 500.0     		Fdrag : 122.19908 		m : 14.27495  		v : 205.91111 		Mach : 0.61348   		a : 16.66509  		altitude : 1206.44014		twr : 3.57008   	
	t : 10.18     		Fthrust : 500.0     		Fdrag : 122.37113 		m : 14.27335  		v : 206.07767 		Mach : 0.61399   		a : 16.656    		altitude : 1208.50009		twr : 3.57048   	
	t : 10.19     		Fthrust : 500.0     		Fdrag : 122.54313 		m : 14.27175  		v : 206.24414 		Mach : 0.6145    		a : 16.64692  		altitude : 1210.5617 		twr : 3.57088   	
	t : 10.2      		Fthrust : 500.0     		Fdrag : 122.71508 		m : 14.27014  		v : 206.41052 		Mach : 0.61501   		a : 16.63784  		altitude : 1212.62497		twr : 3.57128   	
	t : 10.21     		Fthrust : 500.0     		Fdrag : 122.88697 		m : 14.26854  		v : 206.57681 		Mach : 0.61552   		a : 16.62876  		altitude : 1214.68991		twr : 3.57168   	
	t : 10.22     		Fthrust : 500.0     		Fdrag : 123.05882 		m : 14.26694  		v : 206.743   		Mach : 0.61603   		a : 16.61969  		altitude : 1216.7565 		twr : 3.57208   	
	t : 10.23     		Fthrust : 500.0     		Fdrag : 123.23062 		m : 14.26533  		v : 206.90911 		Mach : 0.61654   		a : 16.61061  		altitude : 1218.82477		twr : 3.57248   	
	t : 10.24     		Fthrust : 500.0     		Fdrag : 123.40236 		m : 14.26373  		v : 207.07513 		Mach : 0.61705   		a : 16.60153  		altitude : 1220.89469		twr : 3.57288   	
	t : 10.25     		Fthrust : 500.0     		Fdrag : 123.57406 		m : 14.26213  		v : 207.24105 		Mach : 0.61756   		a : 16.59246  		altitude : 1222.96627		twr : 3.57329   	
	t : 10.26     		Fthrust : 500.0     		Fdrag : 123.7457  		m : 14.26053  		v : 207.40688 		Mach : 0.61807   		a : 16.58339  		altitude : 1225.03951		twr : 3.57369   	
	t : 10.27     		Fthrust : 500.0     		Fdrag : 123.91729 		m : 14.25892  		v : 207.57263 		Mach : 0.61858   		a : 16.57432  		altitude : 1227.1144 		twr : 3.57409   	
	t : 10.28     		Fthrust : 500.0     		Fdrag : 124.08883 		m : 14.25732  		v : 207.73828 		Mach : 0.61909   		a : 16.56525  		altitude : 1229.19096		twr : 3.57449   	
	t : 10.29     		Fthrust : 500.0     		Fdrag : 124.26031 		m : 14.25572  		v : 207.90384 		Mach : 0.6196    		a : 16.55619  		altitude : 1231.26917		twr : 3.57489   	
	t : 10.3      		Fthrust : 500.0     		Fdrag : 124.43174 		m : 14.25412  		v : 208.06931 		Mach : 0.62011   		a : 16.54712  		altitude : 1233.34904		twr : 3.5753    	
	t : 10.31     		Fthrust : 500.0     		Fdrag : 124.60312 		m : 14.25251  		v : 208.23469 		Mach : 0.62061   		a : 16.53806  		altitude : 1235.43056		twr : 3.5757    	
	t : 10.32     		Fthrust : 500.0     		Fdrag : 124.77444 		m : 14.25091  		v : 208.39998 		Mach : 0.62112   		a : 16.529    		altitude : 1237.51373		twr : 3.5761    	
	t : 10.33     		Fthrust : 500.0     		Fdrag : 124.94571 		m : 14.24931  		v : 208.56518 		Mach : 0.62163   		a : 16.51994  		altitude : 1239.59855		twr : 3.5765    	
	t : 10.34     		Fthrust : 500.0     		Fdrag : 125.11693 		m : 14.2477   		v : 208.73029 		Mach : 0.62214   		a : 16.51088  		altitude : 1241.68503		twr : 3.5769    	
	t : 10.35     		Fthrust : 500.0     		Fdrag : 125.28809 		m : 14.2461   		v : 208.89531 		Mach : 0.62264   		a : 16.50182  		altitude : 1243.77316		twr : 3.57731   	
	t : 10.36     		Fthrust : 500.0     		Fdrag : 125.4592  		m : 14.2445   		v : 209.06024 		Mach : 0.62315   		a : 16.49277  		altitude : 1245.86294		twr : 3.57771   	
	t : 10.37     		Fthrust : 500.0     		Fdrag : 125.63025 		m : 14.2429   		v : 209.22508 		Mach : 0.62366   		a : 16.48372  		altitude : 1247.95436		twr : 3.57811   	
	t : 10.38     		Fthrust : 500.0     		Fdrag : 125.80124 		m : 14.24129  		v : 209.38982 		Mach : 0.62416   		a : 16.47467  		altitude : 1250.04744		twr : 3.57851   	
	t : 10.39     		Fthrust : 500.0     		Fdrag : 125.97218 		m : 14.23969  		v : 209.55448 		Mach : 0.62467   		a : 16.46562  		altitude : 1252.14216		twr : 3.57892   	
	t : 10.4      		Fthrust : 500.0     		Fdrag : 126.14306 		m : 14.23809  		v : 209.71904 		Mach : 0.62517   		a : 16.45657  		altitude : 1254.23853		twr : 3.57932   	
	t : 10.41     		Fthrust : 500.0     		Fdrag : 126.31388 		m : 14.23648  		v : 209.88352 		Mach : 0.62568   		a : 16.44753  		altitude : 1256.33654		twr : 3.57972   	
	t : 10.42     		Fthrust : 500.0     		Fdrag : 126.48465 		m : 14.23488  		v : 210.0479  		Mach : 0.62618   		a : 16.43848  		altitude : 1258.4362 		twr : 3.58013   	
	t : 10.43     		Fthrust : 500.0     		Fdrag : 126.65536 		m : 14.23328  		v : 210.2122  		Mach : 0.62669   		a : 16.42944  		altitude : 1260.5375 		twr : 3.58053   	
	t : 10.44     		Fthrust : 500.0     		Fdrag : 126.82601 		m : 14.23168  		v : 210.3764  		Mach : 0.62719   		a : 16.4204   		altitude : 1262.64044		twr : 3.58093   	
	t : 10.45     		Fthrust : 500.0     		Fdrag : 126.99661 		m : 14.23007  		v : 210.54052 		Mach : 0.6277    		a : 16.41137  		altitude : 1264.74503		twr : 3.58133   	
	t : 10.46     		Fthrust : 500.0     		Fdrag : 127.16714 		m : 14.22847  		v : 210.70454 		Mach : 0.6282    		a : 16.40233  		altitude : 1266.85125		twr : 3.58174   	
	t : 10.47     		Fthrust : 500.0     		Fdrag : 127.33762 		m : 14.22687  		v : 210.86847 		Mach : 0.62871   		a : 16.3933   		altitude : 1268.95912		twr : 3.58214   	
	t : 10.48     		Fthrust : 500.0     		Fdrag : 127.50804 		m : 14.22527  		v : 211.03231 		Mach : 0.62921   		a : 16.38427  		altitude : 1271.06862		twr : 3.58255   	
	t : 10.49     		Fthrust : 500.0     		Fdrag : 127.67839 		m : 14.22366  		v : 211.19607 		Mach : 0.62971   		a : 16.37524  		altitude : 1273.17976		twr : 3.58295   	
	t : 10.5      		Fthrust : 500.0     		Fdrag : 127.84869 		m : 14.22206  		v : 211.35973 		Mach : 0.63022   		a : 16.36621  		altitude : 1275.29254		twr : 3.58335   	
	t : 10.51     		Fthrust : 500.0     		Fdrag : 128.01893 		m : 14.22046  		v : 211.5233  		Mach : 0.63072   		a : 16.35719  		altitude : 1277.40696		twr : 3.58376   	
	t : 10.52     		Fthrust : 500.0     		Fdrag : 128.18911 		m : 14.21885  		v : 211.68678 		Mach : 0.63122   		a : 16.34817  		altitude : 1279.52301		twr : 3.58416   	
	t : 10.53     		Fthrust : 500.0     		Fdrag : 128.35923 		m : 14.21725  		v : 211.85017 		Mach : 0.63173   		a : 16.33915  		altitude : 1281.64069		twr : 3.58456   	
	t : 10.54     		Fthrust : 500.0     		Fdrag : 128.52928 		m : 14.21565  		v : 212.01348 		Mach : 0.63223   		a : 16.33013  		altitude : 1283.76001		twr : 3.58497   	
	t : 10.55     		Fthrust : 500.0     		Fdrag : 128.69928 		m : 14.21405  		v : 212.17669 		Mach : 0.63273   		a : 16.32111  		altitude : 1285.88096		twr : 3.58537   	
	t : 10.56     		Fthrust : 500.0     		Fdrag : 128.86921 		m : 14.21244  		v : 212.33981 		Mach : 0.63323   		a : 16.3121   		altitude : 1288.00354		twr : 3.58578   	
	t : 10.57     		Fthrust : 500.0     		Fdrag : 129.03908 		m : 14.21084  		v : 212.50284 		Mach : 0.63373   		a : 16.30309  		altitude : 1290.12776		twr : 3.58618   	
	t : 10.58     		Fthrust : 500.0     		Fdrag : 129.20889 		m : 14.20924  		v : 212.66578 		Mach : 0.63424   		a : 16.29408  		altitude : 1292.2536 		twr : 3.58659   	
	t : 10.59     		Fthrust : 500.0     		Fdrag : 129.37863 		m : 14.20763  		v : 212.82863 		Mach : 0.63474   		a : 16.28507  		altitude : 1294.38107		twr : 3.58699   	
	t : 10.6      		Fthrust : 500.0     		Fdrag : 129.54832 		m : 14.20603  		v : 212.99139 		Mach : 0.63524   		a : 16.27607  		altitude : 1296.51017		twr : 3.5874    	
	t : 10.61     		Fthrust : 500.0     		Fdrag : 129.71794 		m : 14.20443  		v : 213.15406 		Mach : 0.63574   		a : 16.26707  		altitude : 1298.6409 		twr : 3.5878    	
	t : 10.62     		Fthrust : 500.0     		Fdrag : 129.88749 		m : 14.20283  		v : 213.31664 		Mach : 0.63624   		a : 16.25807  		altitude : 1300.77325		twr : 3.5882    	
	t : 10.63     		Fthrust : 500.0     		Fdrag : 130.05698 		m : 14.20122  		v : 213.47913 		Mach : 0.63674   		a : 16.24907  		altitude : 1302.90723		twr : 3.58861   	
	t : 10.64     		Fthrust : 500.0     		Fdrag : 130.22641 		m : 14.19962  		v : 213.64153 		Mach : 0.63724   		a : 16.24008  		altitude : 1305.04283		twr : 3.58901   	
	t : 10.65     		Fthrust : 500.0     		Fdrag : 130.39577 		m : 14.19802  		v : 213.80384 		Mach : 0.63774   		a : 16.23109  		altitude : 1307.18006		twr : 3.58942   	
	t : 10.66     		Fthrust : 500.0     		Fdrag : 130.56507 		m : 14.19642  		v : 213.96607 		Mach : 0.63824   		a : 16.2221   		altitude : 1309.31891		twr : 3.58983   	
	t : 10.67     		Fthrust : 500.0     		Fdrag : 130.73431 		m : 14.19481  		v : 214.1282  		Mach : 0.63874   		a : 16.21311  		altitude : 1311.45938		twr : 3.59023   	
	t : 10.68     		Fthrust : 500.0     		Fdrag : 130.90347 		m : 14.19321  		v : 214.29024 		Mach : 0.63924   		a : 16.20413  		altitude : 1313.60147		twr : 3.59064   	
	t : 10.69     		Fthrust : 500.0     		Fdrag : 131.07258 		m : 14.19161  		v : 214.45219 		Mach : 0.63974   		a : 16.19515  		altitude : 1315.74519		twr : 3.59104   	
	t : 10.7      		Fthrust : 500.0     		Fdrag : 131.24161 		m : 14.19     		v : 214.61405 		Mach : 0.64024   		a : 16.18617  		altitude : 1317.89052		twr : 3.59145   	
	t : 10.71     		Fthrust : 500.0     		Fdrag : 131.41058 		m : 14.1884   		v : 214.77582 		Mach : 0.64074   		a : 16.17719  		altitude : 1320.03747		twr : 3.59185   	
	t : 10.72     		Fthrust : 500.0     		Fdrag : 131.57948 		m : 14.1868   		v : 214.93751 		Mach : 0.64123   		a : 16.16822  		altitude : 1322.18603		twr : 3.59226   	
	t : 10.73     		Fthrust : 500.0     		Fdrag : 131.74832 		m : 14.1852   		v : 215.0991  		Mach : 0.64173   		a : 16.15925  		altitude : 1324.33622		twr : 3.59266   	
	t : 10.74     		Fthrust : 500.0     		Fdrag : 131.91709 		m : 14.18359  		v : 215.2606  		Mach : 0.64223   		a : 16.15028  		altitude : 1326.48802		twr : 3.59307   	
	t : 10.75     		Fthrust : 500.0     		Fdrag : 132.08579 		m : 14.18199  		v : 215.42201 		Mach : 0.64273   		a : 16.14132  		altitude : 1328.64143		twr : 3.59348   	
	t : 10.76     		Fthrust : 500.0     		Fdrag : 132.25442 		m : 14.18039  		v : 215.58334 		Mach : 0.64322   		a : 16.13235  		altitude : 1330.79646		twr : 3.59388   	
	t : 10.77     		Fthrust : 500.0     		Fdrag : 132.42299 		m : 14.17878  		v : 215.74457 		Mach : 0.64372   		a : 16.12339  		altitude : 1332.95309		twr : 3.59429   	
	t : 10.78     		Fthrust : 500.0     		Fdrag : 132.59148 		m : 14.17718  		v : 215.90572 		Mach : 0.64422   		a : 16.11444  		altitude : 1335.11135		twr : 3.59469   	
	t : 10.79     		Fthrust : 500.0     		Fdrag : 132.75991 		m : 14.17558  		v : 216.06677 		Mach : 0.64472   		a : 16.10548  		altitude : 1337.27121		twr : 3.5951    	
	t : 10.8      		Fthrust : 500.0     		Fdrag : 132.92827 		m : 14.17398  		v : 216.22774 		Mach : 0.64521   		a : 16.09653  		altitude : 1339.43268		twr : 3.59551   	
	t : 10.81     		Fthrust : 500.0     		Fdrag : 133.09656 		m : 14.17237  		v : 216.38861 		Mach : 0.64571   		a : 16.08758  		altitude : 1341.59576		twr : 3.59591   	
	t : 10.82     		Fthrust : 500.0     		Fdrag : 133.26477 		m : 14.17077  		v : 216.5494  		Mach : 0.6462    		a : 16.07864  		altitude : 1343.76045		twr : 3.59632   	
	t : 10.83     		Fthrust : 500.0     		Fdrag : 133.43292 		m : 14.16917  		v : 216.7101  		Mach : 0.6467    		a : 16.0697   		altitude : 1345.92675		twr : 3.59673   	
	t : 10.84     		Fthrust : 500.0     		Fdrag : 133.601   		m : 14.16757  		v : 216.8707  		Mach : 0.6472    		a : 16.06076  		altitude : 1348.09465		twr : 3.59713   	
	t : 10.85     		Fthrust : 500.0     		Fdrag : 133.76901 		m : 14.16596  		v : 217.03122 		Mach : 0.64769   		a : 16.05182  		altitude : 1350.26416		twr : 3.59754   	
	t : 10.86     		Fthrust : 500.0     		Fdrag : 133.93695 		m : 14.16436  		v : 217.19165 		Mach : 0.64819   		a : 16.04288  		altitude : 1352.43528		twr : 3.59795   	
	t : 10.87     		Fthrust : 500.0     		Fdrag : 134.10481 		m : 14.16276  		v : 217.35199 		Mach : 0.64868   		a : 16.03395  		altitude : 1354.608  		twr : 3.59836   	
	t : 10.88     		Fthrust : 500.0     		Fdrag : 134.27261 		m : 14.16115  		v : 217.51224 		Mach : 0.64918   		a : 16.02503  		altitude : 1356.78232		twr : 3.59876   	
	t : 10.89     		Fthrust : 500.0     		Fdrag : 134.44033 		m : 14.15955  		v : 217.6724  		Mach : 0.64967   		a : 16.0161   		altitude : 1358.95824		twr : 3.59917   	
	t : 10.9      		Fthrust : 500.0     		Fdrag : 134.60798 		m : 14.15795  		v : 217.83247 		Mach : 0.65016   		a : 16.00718  		altitude : 1361.13577		twr : 3.59958   	
	t : 10.91     		Fthrust : 500.0     		Fdrag : 134.77556 		m : 14.15635  		v : 217.99246 		Mach : 0.65066   		a : 15.99826  		altitude : 1363.31489		twr : 3.59998   	
	t : 10.92     		Fthrust : 500.0     		Fdrag : 134.94306 		m : 14.15474  		v : 218.15235 		Mach : 0.65115   		a : 15.98934  		altitude : 1365.49561		twr : 3.60039   	
	t : 10.93     		Fthrust : 500.0     		Fdrag : 135.1105  		m : 14.15314  		v : 218.31215 		Mach : 0.65165   		a : 15.98043  		altitude : 1367.67794		twr : 3.6008    	
	t : 10.94     		Fthrust : 500.0     		Fdrag : 135.27785 		m : 14.15154  		v : 218.47187 		Mach : 0.65214   		a : 15.97152  		altitude : 1369.86186		twr : 3.60121   	
	t : 10.95     		Fthrust : 500.0     		Fdrag : 135.44514 		m : 14.14993  		v : 218.63149 		Mach : 0.65263   		a : 15.96262  		altitude : 1372.04737		twr : 3.60162   	
	t : 10.96     		Fthrust : 500.0     		Fdrag : 135.61235 		m : 14.14833  		v : 218.79103 		Mach : 0.65312   		a : 15.95371  		altitude : 1374.23449		twr : 3.60202   	
	t : 10.97     		Fthrust : 500.0     		Fdrag : 135.77949 		m : 14.14673  		v : 218.95048 		Mach : 0.65362   		a : 15.94481  		altitude : 1376.42319		twr : 3.60243   	
	t : 10.98     		Fthrust : 500.0     		Fdrag : 135.94655 		m : 14.14513  		v : 219.10984 		Mach : 0.65411   		a : 15.93592  		altitude : 1378.6135 		twr : 3.60284   	
	t : 10.99     		Fthrust : 500.0     		Fdrag : 136.11354 		m : 14.14352  		v : 219.26911 		Mach : 0.6546    		a : 15.92702  		altitude : 1380.80539		twr : 3.60325   	
	t : 11.0      		Fthrust : 500.0     		Fdrag : 136.28046 		m : 14.14192  		v : 219.42829 		Mach : 0.65509   		a : 15.91813  		altitude : 1382.99888		twr : 3.60366   	
	t : 11.01     		Fthrust : 500.0     		Fdrag : 136.44729 		m : 14.14032  		v : 219.58738 		Mach : 0.65559   		a : 15.90925  		altitude : 1385.19396		twr : 3.60406   	
	t : 11.02     		Fthrust : 500.0     		Fdrag : 136.61406 		m : 14.13872  		v : 219.74639 		Mach : 0.65608   		a : 15.90036  		altitude : 1387.39062		twr : 3.60447   	
	t : 11.03     		Fthrust : 500.0     		Fdrag : 136.78074 		m : 14.13711  		v : 219.9053  		Mach : 0.65657   		a : 15.89148  		altitude : 1389.58888		twr : 3.60488   	
	t : 11.04     		Fthrust : 500.0     		Fdrag : 136.94735 		m : 14.13551  		v : 220.06413 		Mach : 0.65706   		a : 15.88261  		altitude : 1391.78873		twr : 3.60529   	
	t : 11.05     		Fthrust : 500.0     		Fdrag : 137.11389 		m : 14.13391  		v : 220.22286 		Mach : 0.65755   		a : 15.87373  		altitude : 1393.99016		twr : 3.6057    	
	t : 11.06     		Fthrust : 500.0     		Fdrag : 137.28035 		m : 14.1323   		v : 220.38151 		Mach : 0.65804   		a : 15.86486  		altitude : 1396.19319		twr : 3.60611   	
	t : 11.07     		Fthrust : 500.0     		Fdrag : 137.44673 		m : 14.1307   		v : 220.54007 		Mach : 0.65853   		a : 15.856    		altitude : 1398.39779		twr : 3.60652   	
	t : 11.08     		Fthrust : 500.0     		Fdrag : 137.61303 		m : 14.1291   		v : 220.69854 		Mach : 0.65902   		a : 15.84713  		altitude : 1400.60399		twr : 3.60693   	
	t : 11.09     		Fthrust : 500.0     		Fdrag : 137.77926 		m : 14.1275   		v : 220.85693 		Mach : 0.65951   		a : 15.83827  		altitude : 1402.81176		twr : 3.60734   	
	t : 11.1      		Fthrust : 500.0     		Fdrag : 137.94541 		m : 14.12589  		v : 221.01522 		Mach : 0.66      		a : 15.82942  		altitude : 1405.02113		twr : 3.60774   	
	t : 11.11     		Fthrust : 500.0     		Fdrag : 138.11148 		m : 14.12429  		v : 221.17343 		Mach : 0.66049   		a : 15.82056  		altitude : 1407.23207		twr : 3.60815   	
	t : 11.12     		Fthrust : 500.0     		Fdrag : 138.27747 		m : 14.12269  		v : 221.33154 		Mach : 0.66098   		a : 15.81171  		altitude : 1409.44459		twr : 3.60856   	
	t : 11.13     		Fthrust : 500.0     		Fdrag : 138.44338 		m : 14.12108  		v : 221.48957 		Mach : 0.66147   		a : 15.80287  		altitude : 1411.6587 		twr : 3.60897   	
	t : 11.14     		Fthrust : 500.0     		Fdrag : 138.60922 		m : 14.11948  		v : 221.64751 		Mach : 0.66196   		a : 15.79403  		altitude : 1413.87438		twr : 3.60938   	
	t : 11.15     		Fthrust : 500.0     		Fdrag : 138.77497 		m : 14.11788  		v : 221.80537 		Mach : 0.66244   		a : 15.78519  		altitude : 1416.09165		twr : 3.60979   	
	t : 11.16     		Fthrust : 500.0     		Fdrag : 138.94065 		m : 14.11628  		v : 221.96313 		Mach : 0.66293   		a : 15.77635  		altitude : 1418.31049		twr : 3.6102    	
	t : 11.17     		Fthrust : 500.0     		Fdrag : 139.10624 		m : 14.11467  		v : 222.1208  		Mach : 0.66342   		a : 15.76752  		altitude : 1420.53091		twr : 3.61061   	
	t : 11.18     		Fthrust : 500.0     		Fdrag : 139.27176 		m : 14.11307  		v : 222.27839 		Mach : 0.66391   		a : 15.75869  		altitude : 1422.75291		twr : 3.61102   	
	t : 11.19     		Fthrust : 500.0     		Fdrag : 139.4372  		m : 14.11147  		v : 222.43589 		Mach : 0.6644    		a : 15.74987  		altitude : 1424.97648		twr : 3.61143   	
	t : 11.2      		Fthrust : 500.0     		Fdrag : 139.60255 		m : 14.10986  		v : 222.5933  		Mach : 0.66488   		a : 15.74105  		altitude : 1427.20162		twr : 3.61184   	
	t : 11.21     		Fthrust : 500.0     		Fdrag : 139.76783 		m : 14.10826  		v : 222.75062 		Mach : 0.66537   		a : 15.73223  		altitude : 1429.42834		twr : 3.61225   	
	t : 11.22     		Fthrust : 500.0     		Fdrag : 139.93302 		m : 14.10666  		v : 222.90786 		Mach : 0.66586   		a : 15.72342  		altitude : 1431.65664		twr : 3.61266   	
	t : 11.23     		Fthrust : 500.0     		Fdrag : 140.09813 		m : 14.10506  		v : 223.065   		Mach : 0.66634   		a : 15.71461  		altitude : 1433.8865 		twr : 3.61307   	
	t : 11.24     		Fthrust : 500.0     		Fdrag : 140.26316 		m : 14.10345  		v : 223.22206 		Mach : 0.66683   		a : 15.7058   		altitude : 1436.11794		twr : 3.61348   	
	t : 11.25     		Fthrust : 500.0     		Fdrag : 140.42811 		m : 14.10185  		v : 223.37903 		Mach : 0.66732   		a : 15.697    		altitude : 1438.35094		twr : 3.61389   	
	t : 11.26     		Fthrust : 500.0     		Fdrag : 140.59298 		m : 14.10025  		v : 223.53591 		Mach : 0.6678    		a : 15.6882   		altitude : 1440.58552		twr : 3.61431   	
	t : 11.27     		Fthrust : 500.0     		Fdrag : 140.75776 		m : 14.09865  		v : 223.69271 		Mach : 0.66829   		a : 15.67941  		altitude : 1442.82166		twr : 3.61472   	
	t : 11.28     		Fthrust : 500.0     		Fdrag : 140.92246 		m : 14.09704  		v : 223.84941 		Mach : 0.66877   		a : 15.67062  		altitude : 1445.05937		twr : 3.61513   	
	t : 11.29     		Fthrust : 500.0     		Fdrag : 141.08708 		m : 14.09544  		v : 224.00603 		Mach : 0.66926   		a : 15.66183  		altitude : 1447.29865		twr : 3.61554   	
	t : 11.3      		Fthrust : 500.0     		Fdrag : 141.25162 		m : 14.09384  		v : 224.16256 		Mach : 0.66975   		a : 15.65305  		altitude : 1449.53949		twr : 3.61595   	
	t : 11.31     		Fthrust : 500.0     		Fdrag : 141.41607 		m : 14.09223  		v : 224.319   		Mach : 0.67023   		a : 15.64427  		altitude : 1451.7819 		twr : 3.61636   	
	t : 11.32     		Fthrust : 500.0     		Fdrag : 141.58044 		m : 14.09063  		v : 224.47536 		Mach : 0.67071   		a : 15.6355   		altitude : 1454.02587		twr : 3.61677   	
	t : 11.33     		Fthrust : 500.0     		Fdrag : 141.74473 		m : 14.08903  		v : 224.63163 		Mach : 0.6712    		a : 15.62673  		altitude : 1456.2714 		twr : 3.61718   	
	t : 11.34     		Fthrust : 500.0     		Fdrag : 141.90893 		m : 14.08743  		v : 224.78781 		Mach : 0.67168   		a : 15.61796  		altitude : 1458.5185 		twr : 3.61759   	
	t : 11.35     		Fthrust : 500.0     		Fdrag : 142.07304 		m : 14.08582  		v : 224.9439  		Mach : 0.67217   		a : 15.6092   		altitude : 1460.76716		twr : 3.61801   	
	t : 11.36     		Fthrust : 500.0     		Fdrag : 142.23707 		m : 14.08422  		v : 225.0999  		Mach : 0.67265   		a : 15.60044  		altitude : 1463.01738		twr : 3.61842   	
	t : 11.37     		Fthrust : 500.0     		Fdrag : 142.40102 		m : 14.08262  		v : 225.25582 		Mach : 0.67313   		a : 15.59168  		altitude : 1465.26916		twr : 3.61883   	
	t : 11.38     		Fthrust : 500.0     		Fdrag : 142.56488 		m : 14.08101  		v : 225.41165 		Mach : 0.67362   		a : 15.58293  		altitude : 1467.5225 		twr : 3.61924   	
	t : 11.39     		Fthrust : 500.0     		Fdrag : 142.72866 		m : 14.07941  		v : 225.56739 		Mach : 0.6741    		a : 15.57419  		altitude : 1469.77739		twr : 3.61965   	
