	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 0.34      		Fthrust : 500.0     		Fdrag : 0.17444   		m : 15.85048  		v : 7.3697    		Mach : 0.02169   		a : 21.72122  		altitude : 114.25191 		twr : 3.21525   	
	t : 0.35      		Fthrust : 500.0     		Fdrag : 0.18487   		m : 15.84888  		v : 7.58694   		Mach : 0.02232   		a : 21.72377  		altitude : 114.32669 		twr : 3.21557   	
	t : 0.36      		Fthrust : 500.0     		Fdrag : 0.19561   		m : 15.84728  		v : 7.8042    		Mach : 0.02296   		a : 21.7263   		altitude : 114.40365 		twr : 3.2159    	
	t : 0.37      		Fthrust : 500.0     		Fdrag : 0.20665   		m : 15.84568  		v : 8.02149   		Mach : 0.0236    		a : 21.72882  		altitude : 114.48278 		twr : 3.21622   	
	t : 0.38      		Fthrust : 500.0     		Fdrag : 0.218     		m : 15.84407  		v : 8.2388    		Mach : 0.02424   		a : 21.73131  		altitude : 114.56408 		twr : 3.21655   	
	t : 0.39      		Fthrust : 500.0     		Fdrag : 0.22965   		m : 15.84247  		v : 8.45614   		Mach : 0.02488   		a : 21.73378  		altitude : 114.64755 		twr : 3.21687   	
	t : 0.4       		Fthrust : 500.0     		Fdrag : 0.2416    		m : 15.84087  		v : 8.6735    		Mach : 0.02552   		a : 21.73624  		altitude : 114.7332  		twr : 3.2172    	
	t : 0.41      		Fthrust : 500.0     		Fdrag : 0.25386   		m : 15.83926  		v : 8.89089   		Mach : 0.02616   		a : 21.73868  		altitude : 114.82103 		twr : 3.21753   	
	t : 0.42      		Fthrust : 500.0     		Fdrag : 0.26643   		m : 15.83766  		v : 9.1083    		Mach : 0.0268    		a : 21.74109  		altitude : 114.91102 		twr : 3.21785   	
	t : 0.43      		Fthrust : 500.0     		Fdrag : 0.2793    		m : 15.83606  		v : 9.32573   		Mach : 0.02744   		a : 21.74349  		altitude : 115.00319 		twr : 3.21818   	
	t : 0.44      		Fthrust : 500.0     		Fdrag : 0.29247   		m : 15.83446  		v : 9.54319   		Mach : 0.02808   		a : 21.74588  		altitude : 115.09754 		twr : 3.2185    	
	t : 0.45      		Fthrust : 500.0     		Fdrag : 0.30595   		m : 15.83285  		v : 9.76068   		Mach : 0.02872   		a : 21.74824  		altitude : 115.19406 		twr : 3.21883   	
	t : 0.46      		Fthrust : 500.0     		Fdrag : 0.31974   		m : 15.83125  		v : 9.97818   		Mach : 0.02936   		a : 21.75058  		altitude : 115.29275 		twr : 3.21915   	
	t : 0.47      		Fthrust : 500.0     		Fdrag : 0.33383   		m : 15.82965  		v : 10.19571  		Mach : 0.03      		a : 21.75291  		altitude : 115.39362 		twr : 3.21948   	
	t : 0.48      		Fthrust : 500.0     		Fdrag : 0.34822   		m : 15.82805  		v : 10.41326  		Mach : 0.03064   		a : 21.75521  		altitude : 115.49666 		twr : 3.21981   	
	t : 0.49      		Fthrust : 500.0     		Fdrag : 0.36292   		m : 15.82644  		v : 10.63084  		Mach : 0.03128   		a : 21.7575   		altitude : 115.60188 		twr : 3.22013   	
	t : 0.5       		Fthrust : 500.0     		Fdrag : 0.37793   		m : 15.82484  		v : 10.84843  		Mach : 0.03192   		a : 21.75977  		altitude : 115.70928 		twr : 3.22046   	
	t : 0.51      		Fthrust : 500.0     		Fdrag : 0.39324   		m : 15.82324  		v : 11.06605  		Mach : 0.03256   		a : 21.76202  		altitude : 115.81885 		twr : 3.22078   	
	t : 0.52      		Fthrust : 500.0     		Fdrag : 0.40885   		m : 15.82163  		v : 11.2837   		Mach : 0.0332    		a : 21.76425  		altitude : 115.9306  		twr : 3.22111   	
	t : 0.53      		Fthrust : 500.0     		Fdrag : 0.42478   		m : 15.82003  		v : 11.50136  		Mach : 0.03384   		a : 21.76646  		altitude : 116.04453 		twr : 3.22144   	
	t : 0.54      		Fthrust : 500.0     		Fdrag : 0.441     		m : 15.81843  		v : 11.71905  		Mach : 0.03448   		a : 21.76865  		altitude : 116.16063 		twr : 3.22176   	
	t : 0.55      		Fthrust : 500.0     		Fdrag : 0.45753   		m : 15.81683  		v : 11.93676  		Mach : 0.03512   		a : 21.77082  		altitude : 116.27891 		twr : 3.22209   	
	t : 0.56      		Fthrust : 500.0     		Fdrag : 0.47437   		m : 15.81522  		v : 12.15449  		Mach : 0.03576   		a : 21.77298  		altitude : 116.39936 		twr : 3.22242   	
	t : 0.57      		Fthrust : 500.0     		Fdrag : 0.49152   		m : 15.81362  		v : 12.37224  		Mach : 0.03641   		a : 21.77511  		altitude : 116.522   		twr : 3.22274   	
	t : 0.58      		Fthrust : 500.0     		Fdrag : 0.50897   		m : 15.81202  		v : 12.59001  		Mach : 0.03705   		a : 21.77723  		altitude : 116.64681 		twr : 3.22307   	
