t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
0.41,500.0,0.25386,15.83926,8.89089,0.02616,21.73868,114.82103,3.21753,8.89089,0.02616,21.73868,0,2.21673,0
0.42,500.0,0.26643,15.83766,9.1083,0.0268,21.74109,114.91102,3.21785,9.1083,0.0268,21.74109,0,2.21697,0
0.43,500.0,0.2793,15.83606,9.32573,0.02744,21.74349,115.00319,3.21818,9.32573,0.02744,21.74349,0,2.21722,0
0.44,500.0,0.29247,15.83446,9.54319,0.02808,21.74588,115.09754,3.2185,9.54319,0.02808,21.74588,0,2.21746,0
0.45,500.0,0.30595,15.83285,9.76068,0.02872,21.74824,115.19406,3.21883,9.76068,0.02872,21.74824,0,2.2177,0
0.46,500.0,0.31974,15.83125,9.97818,0.02936,21.75058,115.29275,3.21915,9.97818,0.02936,21.75058,0,2.21794,0
0.47,500.0,0.33383,15.82965,10.19571,0.03,21.75291,115.39362,3.21948,10.19571,0.03,21.75291,0,2.21818,0
0.48,500.0,0.34822,15.82805,10.41326,0.03064,21.75521,115.49666,3.21981,10.41326,0.03064,21.75521,0,2.21841,0
0.49,500.0,0.36292,15.82644,10.63084,0.03128,21.7575,115.60188,3.22013,10.63084,0.03128,21.7575,0,2.21865,0
0.5,500.0,0.37793,15.82484,10.84843,0.03192,21.75977,115.70928,3.22046,10.84843,0.03192,21.75977,0,2.21888,0
0.51,500.0,0.39324,15.82324,11.06605,0.03256,21.76202,115.81885,3.22078,11.06605,0.03256,21.76202,0,2.21911,0
0.52,500.0,0.40885,15.82163,11.2837,0.0332,21.76425,115.9306,3.22111,11.2837,0.0332,21.76425,0,2.21934,0
0.53,500.0,0.42478,15.82003,11.50136,0.03384,21.76646,116.04453,3.22144,11.50136,0.03384,21.76646,0,2.21956,0
0.54,500.0,0.441,15.81843,11.71905,0.03448,21.76865,116.16063,3.22176,11.71905,0.03448,21.76865,0,2.21978,0
0.55,500.0,0.45753,15.81683,11.93676,0.03512,21.77082,116.27891,3.22209,11.93676,0.03512,21.77082,0,2.22001,0
0.56,500.0,0.47437,15.81522,12.15449,0.03576,21.77298,116.39936,3.22242,12.15449,0.03576,21.77298,0,2.22023,0
0.57,500.0,0.49152,15.81362,12.37224,0.03641,21.77511,116.522,3.22274,12.37224,0.03641,21.77511,0,2.22044,0
0.58,500.0,0.50897,15.81202,12.59001,0.03705,21.77723,116.64681,3.22307,12.59001,0.03705,21.77723,0,2.22066,0
